          RA           DEC             R062             Z087 
 00:53:57.94  +39:48:28.32       29.1142546       30.2029034 
 00:54:03.19  +39:48:48.35       29.3410721       30.7775430 
 00:54:03.97  +39:48:51.27       30.3674220       31.5538958 
 00:54:12.06  +39:49:21.93       29.3854764       30.4089085 
 00:54:04.03  +39:48:51.32       28.7415699       29.8845658 
 00:53:59.38  +39:48:33.61       29.6054915       30.1832766 
 00:54:04.31  +39:48:52.32       29.2949937       30.1662537 
 00:54:08.90  +39:49:09.58       28.7113285       29.7782384 
 00:54:08.41  +39:49:07.68       28.6879047       30.0265506 
 00:54:06.79  +39:49:01.51       28.8247373       30.0655582 
 00:53:59.94  +39:48:35.41       29.0245111       29.7435989 
 00:54:06.24  +39:48:59.42       30.1794435       29.3007234 
 00:54:08.90  +39:49:09.48       28.3642698       29.0072715 
 00:54:08.99  +39:49:09.81       28.5032742       29.7332257 
 00:54:12.47  +39:49:23.07       29.9620980       29.9203249 
 00:53:58.81  +39:48:31.05       29.3598503       30.8615379 
 00:54:07.55  +39:49:04.32       28.6166981       29.5749136 
 00:54:11.22  +39:49:18.27       28.5096242       29.4895785 
 00:54:12.11  +39:49:21.66       28.4466829       29.8505455 
 00:54:01.21  +39:48:40.15       29.2530481       29.9612664 
 00:54:10.45  +39:49:15.31       24.7542698       25.3972715 
 00:54:02.54  +39:48:45.18       28.7306046       29.5692562 
 00:53:58.56  +39:48:29.97       27.9425503       28.9442435 
 00:54:05.33  +39:48:55.78       28.4523090       29.3779161 
 00:54:01.21  +39:48:40.01       29.0510872       30.0419110 
 00:54:02.60  +39:48:45.31       29.1130329       30.2668983 
 00:54:06.74  +39:49:01.03       28.6549937       29.5262537 
 00:54:05.65  +39:48:56.86       28.7686438       29.8899009 
 00:54:08.04  +39:49:05.91       28.3774220       29.5638958 
 00:54:06.50  +39:48:59.93       28.9213285       29.9882384 
 00:54:08.25  +39:49:06.60       27.1392325       25.2931322 
 00:53:59.96  +39:48:34.94       29.7528219       29.9393071 
 00:54:01.42  +39:48:40.46       29.5096393       30.0439466 
 00:54:00.74  +39:48:37.74       29.2991416       30.1269237 
 00:54:09.94  +39:49:12.71       29.0625503       30.0642435 
 00:54:04.96  +39:48:53.75       28.0496242       29.0295785 
 00:54:07.85  +39:49:04.73       27.2984025       28.3435735 
 00:54:13.20  +39:49:25.07       27.9266981       28.8849136 
 00:54:06.67  +39:49:00.14       29.6757328       30.3296040 
 00:53:59.47  +39:48:32.74       28.4723090       29.3979161 
 00:54:08.13  +39:49:05.69       25.6232894       26.4075938 
 00:54:01.53  +39:48:40.50       29.2357328       29.8896040 
 00:54:02.75  +39:48:45.15       28.9464568       29.8285862 
 00:54:04.17  +39:48:50.51       29.3254764       30.3489085 
 00:54:08.30  +39:49:06.23       29.1901068       30.3222333 
 00:54:05.91  +39:48:57.06       28.0106046       28.8492562 
 00:53:59.74  +39:48:33.57       29.1744960       30.3392308 
 00:54:12.10  +39:49:20.57       28.9005894       30.1848881 
 00:54:08.13  +39:49:05.45       29.2020676       30.0515887 
 00:54:04.46  +39:48:51.42       28.4115699       29.5545658 
 00:54:08.46  +39:49:06.63       28.3540133       29.3665760 
 00:54:11.39  +39:49:17.75       27.8444960       29.0092308 
 00:53:56.97  +39:48:22.85       29.3854764       30.4089085 
 00:54:07.22  +39:49:01.84       25.8991416       26.7269237 
 00:54:11.96  +39:49:19.81       29.3023090       30.2279161 
 00:54:08.86  +39:49:07.93       29.2223090       30.1479161 
 00:53:58.70  +39:48:29.22       28.9676634       30.2302232 
 00:54:04.85  +39:48:52.63       27.6708459       28.5855836 
 00:54:07.35  +39:49:02.11       28.9864568       29.8685862 
 00:54:08.99  +39:49:08.24       28.0488851       29.2462283 
 00:54:05.30  +39:48:54.15       29.0506046       29.8892562 
 00:54:00.16  +39:48:34.56       28.6972110       28.9163045 
 00:54:01.43  +39:48:39.41       28.8698807       29.4802740 
 00:53:57.90  +39:48:25.90       28.7459590       29.9215633 
 00:54:02.81  +39:48:44.55       28.6644960       29.8292308 
 00:54:05.33  +39:48:54.06       28.7952351       29.7425811 
 00:54:05.55  +39:48:54.76       28.6959590       29.8715633 
 00:54:08.87  +39:49:07.37       29.2476785       30.0645912 
 00:53:59.68  +39:48:32.37       28.2827916       29.3605709 
 00:54:08.51  +39:49:05.90       28.5640133       29.5765760 
 00:54:13.29  +39:49:24.05       28.1327916       29.2105709 
 00:53:57.41  +39:48:23.56       27.5552351       28.5025811 
 00:53:57.05  +39:48:22.03       29.1359742       29.8659314 
 00:53:58.33  +39:48:26.88       30.1174069       31.7495277 
 00:53:59.91  +39:48:32.88       29.3906198       29.7836243 
 00:54:00.03  +39:48:33.30       29.3133045       29.6519619 
 00:54:00.73  +39:48:35.98       29.8101220       30.4966014 
 00:54:00.84  +39:48:36.34       29.1127916       30.1905709 
 00:54:05.44  +39:48:53.84       28.3493829       29.2532511 
 00:54:10.28  +39:49:12.22       29.1810872       30.1719110 
 00:54:03.86  +39:48:47.63       29.1884176       29.7879415 
 00:53:58.69  +39:48:27.87       29.8784479       29.5866777 
 00:54:01.70  +39:48:39.17       27.7242546       28.8129034 
 00:54:08.09  +39:49:03.52       29.4118263       30.1852613 
 00:54:09.84  +39:49:10.11       29.5113589       29.6869746 
 00:54:00.04  +39:48:32.80       29.2518415       29.5796294 
 00:53:59.87  +39:48:32.10       29.7438023       29.7889847 
 00:54:07.38  +39:49:00.68       29.8331542       27.4218429 
 00:54:09.22  +39:49:07.66       29.0186438       30.1399009 
 00:54:06.56  +39:48:57.41       28.6698655       29.7259059 
 00:53:59.60  +39:48:30.83       28.0971807       29.2075684 
 00:54:00.02  +39:48:32.26       29.2247524       30.0199263 
 00:54:11.64  +39:49:16.46       26.4376785       27.2545912 
 00:54:12.02  +39:49:17.84       29.3496090       30.7752105 
 00:53:58.27  +39:48:25.48       27.6488851       28.8462283 
 00:54:05.81  +39:48:54.17       26.6718263       27.4452613 
 00:54:12.97  +39:49:21.37       28.7493829       29.6532511 
 00:54:02.65  +39:48:41.99       28.8910872       29.8819110 
 00:54:03.12  +39:48:43.78       26.2062155       27.0122588 
 00:54:02.89  +39:48:42.82       28.2579198       29.1509187 
 00:54:10.75  +39:49:12.71       29.4010872       30.3919110 
 00:54:08.79  +39:49:05.02       27.3106046       28.1492562 
 00:54:02.57  +39:48:41.27       28.3730329       29.5268983 
 00:54:05.12  +39:48:50.89       28.8435155       30.1495531 
 00:54:06.16  +39:48:54.86       28.9413285       30.0082384 
 00:54:06.54  +39:48:56.17       28.4179047       29.7565506 
 00:54:05.77  +39:48:53.21       28.5125503       29.5142435 
 00:54:10.25  +39:49:10.10       30.1286589       30.8042689 
 00:54:01.00  +39:48:34.85       29.2308459       30.1455836 
 00:53:58.21  +39:48:24.20       27.7423090       28.6679161 
 00:54:13.20  +39:49:21.17       29.8706046       30.7092562 
 00:54:08.50  +39:49:03.33       27.2891264       28.5625557 
 00:54:05.85  +39:48:53.06       29.2379350       29.6852867 
 00:54:08.97  +39:49:04.93       28.4357177       29.5352359 
 00:54:11.18  +39:49:13.33       29.6442698       30.2872715 
 00:53:58.64  +39:48:25.60       27.8088851       29.0062283 
 00:53:59.77  +39:48:29.88       28.5086438       29.6299009 
 00:53:59.03  +39:48:27.00       29.3357328       29.9896040 
 00:53:59.15  +39:48:27.36       28.4591416       29.2869237 
 00:54:04.36  +39:48:47.16       28.3032894       29.0875938 
 00:54:05.36  +39:48:50.96       29.3232894       30.1075938 
 00:54:11.60  +39:49:14.48       28.3998655       29.4559059 
 00:54:03.27  +39:48:42.77       28.6986438       29.8199009 
 00:54:06.75  +39:48:55.98       28.7271807       29.8375684 
 00:53:58.91  +39:48:26.09       29.2418112       30.4608932 
 00:54:05.03  +39:48:49.39       25.1623090       26.0879161 
 00:54:06.97  +39:48:56.82       29.0701068       30.2022333 
 00:54:05.66  +39:48:51.72       28.9369394       29.9712410 
 00:54:08.47  +39:49:02.42       28.4405894       29.7248881 
 00:54:00.53  +39:48:32.17       29.0584025       30.1035735 
 00:54:02.25  +39:48:38.71       29.2066981       30.1649136 
 00:54:09.77  +39:49:07.29       28.8725503       29.8742435 
 00:54:09.21  +39:49:05.10       29.1859590       30.3615633 
 00:53:58.23  +39:48:23.16       28.2818112       29.5008932 
 00:53:57.27  +39:48:19.48       29.1193677       30.4688831 
 00:54:10.30  +39:49:09.02       28.6823090       29.6079161 
 00:54:00.96  +39:48:33.47       27.7969394       28.8312410 
 00:54:02.43  +39:48:39.01       29.5332894       30.3175938 
 00:54:03.26  +39:48:42.12       29.2874220       30.4738958 
 00:53:58.77  +39:48:24.94       29.0110872       30.0019110 
 00:53:59.31  +39:48:26.97       29.9906198       30.3836243 
 00:54:07.42  +39:48:57.78       28.8749937       29.7462537 
 00:54:03.04  +39:48:41.05       28.7876785       29.6045912 
 00:54:06.57  +39:48:54.47       28.2198655       29.2759059 
 00:54:11.19  +39:49:12.06       28.5423090       29.4679161 
 00:54:10.47  +39:49:09.30       28.4991416       29.3269237 
 00:54:11.23  +39:49:12.16       29.0984025       30.1435735 
