          RA           DEC             R062             Z087 
 00:53:32.71  +39:51:43.01       27.2993829       28.2032511 
 00:53:30.61  +39:51:36.03       29.1076634       30.3702232 
 00:53:19.76  +39:50:59.98       29.6581763       30.1816141 
 00:53:32.59  +39:51:42.36       28.0074220       29.1938958 
 00:53:19.13  +39:50:57.82       29.3299261       28.6033782 
 00:53:23.95  +39:51:13.74       29.1242546       30.2129034 
 00:53:25.54  +39:51:18.98       28.9108459       29.8255836 
 00:53:17.86  +39:50:53.51       27.5454764       28.5689085 
 00:53:23.49  +39:51:12.13       28.9066981       29.8649136 
 00:53:33.07  +39:51:43.72       29.4979047       30.8365506 
 00:53:27.56  +39:51:25.47       27.3059742       28.0359314 
 00:53:29.36  +39:51:31.39       29.1415699       30.2845658 
 00:53:31.51  +39:51:38.49       28.2084025       29.2535735 
 00:53:19.05  +39:50:57.28       29.0169394       30.0512410 
 00:53:29.82  +39:51:32.87       28.6952351       29.6425811 
 00:53:32.01  +39:51:40.09       27.8354612       29.3045404 
 00:53:26.01  +39:51:20.27       28.4569394       29.4912410 
 00:53:28.16  +39:51:27.31       28.1022938       29.4735480 
 00:53:32.84  +39:51:42.76       28.5910721       30.0275430 
 00:53:25.38  +39:51:18.06       28.1142546       29.2029034 
 00:53:29.44  +39:51:31.49       28.5774220       29.7638958 
 00:53:33.23  +39:51:43.99       29.3025654       29.8586116 
 00:53:31.99  +39:51:39.86       29.0640133       30.0765760 
 00:53:30.59  +39:51:35.23       28.3032742       29.5332257 
 00:53:23.91  +39:51:13.06       27.6144960       28.7792308 
 00:53:32.00  +39:51:39.79       29.3728067       30.0049390 
 00:53:18.37  +39:50:54.70       28.6171807       29.7275684 
 00:53:17.78  +39:50:52.61       29.3049786       30.6218856 
 00:53:23.42  +39:51:11.26       29.2732894       30.0575938 
 00:53:16.74  +39:50:49.12       28.8579198       29.7509187 
 00:53:32.55  +39:51:41.21       29.3435307       30.2039212 
 00:53:17.65  +39:50:51.89       29.1103633       29.8729288 
 00:53:20.37  +39:51:00.87       29.3091264       30.5825557 
 00:53:21.68  +39:51:05.17       27.6279198       28.5209187 
 00:53:24.90  +39:51:15.79       28.4296242       29.4095785 
 00:53:20.82  +39:51:02.26       28.5471807       29.6575684 
 00:53:24.67  +39:51:14.98       28.6325351       30.0798754 
