          RA           DEC             R062             Z087 
 00.49.08.37  +40.18.57.69       28.7066981       29.6649136 
 00.49.05.45  +40.19.40.41       27.9552351       28.9025811 
 00.49.07.90  +40.19.04.48       28.9101068       30.0422333 
 00.49.10.41  +40.18.27.76       28.3652351       29.3125811 
 00.49.11.34  +40.18.13.99       29.4613134       30.9738704 
 00.49.14.47  +40.17.28.20       29.4284025       30.4735735 
 00.49.15.71  +40.17.10.03       29.5696242       30.5495785 
 00.49.05.31  +40.19.42.27       28.6196090       30.0452105 
 00.49.06.74  +40.19.21.32       29.1257177       30.2252359 
 00.49.10.34  +40.18.28.71       28.3686438       29.4899009 
 00.49.13.10  +40.17.48.25       25.3518263       26.1252613 
 00.49.08.56  +40.18.54.70       27.4179198       28.3109187 
 00.49.09.07  +40.18.47.19       25.5262155       26.3322588 
 00.49.09.96  +40.18.34.15       29.4198807       30.0302740 
 00.49.14.07  +40.17.33.88       27.5535307       28.4139212 
 00.49.07.00  +40.19.17.38       29.3798655       30.4359059 
 00.49.07.03  +40.19.16.97       25.8103633       26.5729288 
 00.49.12.62  +40.17.55.12       27.9166981       28.8749136 
 00.49.13.49  +40.17.42.26       28.4115547       30.0001978 
 00.49.06.65  +40.19.22.55       29.0296090       30.4552105 
 00.49.07.98  +40.19.02.89       28.0171807       29.1275684 
 00.49.12.22  +40.18.00.92       29.6703633       30.4329288 
 00.49.11.57  +40.18.10.39       28.9142698       29.5572715 
 00.49.12.11  +40.18.02.48       28.6064416       29.9342181 
 00.49.10.95  +40.18.19.33       29.2852351       30.2325811 
 00.49.05.18  +40.19.43.79       28.4603633       29.2229288 
 00.49.08.78  +40.18.51.06       27.3864568       28.2685862 
 00.49.09.48  +40.18.40.79       27.9813285       29.0482384 
 00.49.06.47  +40.19.24.87       29.0779198       29.9709187 
 00.49.11.80  +40.18.06.83       29.4022938       30.7735480 
 00.49.12.49  +40.17.56.71       29.2974372       30.0382638 
 00.49.05.22  +40.19.43.11       26.9242395       28.4585353 
 00.49.07.74  +40.19.06.15       29.1698655       30.2259059 
 00.49.09.35  +40.18.42.54       28.8384025       29.8835735 
 00.49.11.29  +40.18.14.16       29.4869394       30.5212410 
 00.49.09.15  +40.18.45.55       29.0915699       30.2345658 
 00.49.15.13  +40.17.17.81       29.0098655       30.0659059 
 00.49.13.13  +40.17.47.07       28.1296242       29.1095785 
 00.49.10.88  +40.18.19.98       29.4618263       30.2352613 
 00.49.05.93  +40.19.32.49       28.5708308       29.9312156 
 00.49.11.61  +40.18.09.24       29.0615699       30.2045658 
 00.49.12.64  +40.17.54.16       28.2474220       29.4338958 
 00.49.06.18  +40.19.28.65       29.4305894       30.7148881 
 00.49.08.95  +40.18.48.04       27.5169394       28.5512410 
 00.49.10.85  +40.18.20.26       28.9593677       30.3088831 
 00.49.14.05  +40.17.33.38       28.5022938       29.8735480 
 00.49.05.49  +40.19.38.65       29.6154764       30.6389085 
 00.49.14.27  +40.17.30.08       28.2662003       29.5178907 
 00.49.07.11  +40.19.14.98       28.7488851       29.9462283 
 00.49.10.13  +40.18.30.75       28.3557177       29.4552359 
 00.49.14.05  +40.17.33.17       28.5823090       29.5079161 
 00.49.05.00  +40.19.45.80       28.5671807       29.6775684 
 00.49.07.38  +40.19.10.97       28.5603481       29.7685607 
 00.49.07.55  +40.19.08.37       27.9532742       29.1832257 
 00.49.06.77  +40.19.19.78       28.3140133       29.3265760 
 00.49.15.20  +40.17.16.21       28.8664568       29.7485862 
 00.49.05.48  +40.19.38.59       28.2984025       29.3435735 
 00.49.10.61  +40.18.23.45       28.9049937       29.7762537 
 00.49.08.14  +40.18.59.55       27.8642546       28.9529034 
 00.49.12.12  +40.18.01.29       28.0564568       28.9385862 
 00.49.15.36  +40.17.13.81       29.0471807       30.1575684 
 00.49.09.88  +40.18.34.08       28.9766829       30.3805455 
 00.49.12.71  +40.17.52.56       27.8425351       29.2898754 
 00.49.08.48  +40.18.54.46       28.9306046       29.7692562 
 00.49.10.86  +40.18.19.57       27.8527916       28.9305709 
 00.49.11.68  +40.18.07.55       28.5415699       29.6845658 
 00.49.13.35  +40.17.43.18       28.6557177       29.7552359 
 00.49.08.60  +40.18.52.64       23.7672262       23.5406726 
 00.49.14.91  +40.17.20.22       29.1232742       30.3532257 
 00.49.06.16  +40.19.28.38       29.2832894       30.0675938 
 00.49.04.80  +40.19.48.17       29.2557177       30.3552359 
 00.49.10.89  +40.18.19.09       29.0630329       30.2168983 
 00.49.10.91  +40.18.18.70       26.6008459       27.5155836 
 00.49.13.11  +40.17.46.47       29.5691416       30.3969237 
 00.49.05.06  +40.19.44.34       28.9035307       29.7639212 
 00.49.05.46  +40.19.38.41       28.3208308       29.6812156 
 00.49.10.80  +40.18.20.35       28.1076785       28.9245912 
 00.49.13.55  +40.17.40.00       29.5335307       30.3939212 
 00.49.13.61  +40.17.39.17       28.6381611       29.6072461 
 00.49.07.38  +40.19.10.40       25.3820676       26.2315887 
 00.49.09.96  +40.18.32.63       30.0132894       30.7975938 
 00.49.15.34  +40.17.13.72       28.2020525       29.4972206 
 00.49.06.38  +40.19.24.92       28.9288851       30.1262283 
 00.49.07.58  +40.19.07.32       28.6201068       29.7522333 
 00.49.08.05  +40.19.00.42       28.3927916       29.4705709 
 00.49.10.18  +40.18.29.31       28.7762003       30.0278907 
 00.49.10.30  +40.18.27.41       29.3013134       30.8138704 
 00.49.11.70  +40.18.06.74       29.3093829       30.2132511 
 00.49.12.20  +40.17.59.43       29.0196242       29.9995785 
 00.49.07.90  +40.19.02.49       29.3264568       30.2085862 
 00.49.13.63  +40.17.38.54       29.2710872       30.2619110 
 00.49.15.17  +40.17.15.85       28.9988851       30.1962283 
 00.49.07.77  +40.19.04.31       29.0003481       30.2085607 
 00.49.10.99  +40.18.17.11       29.0352351       29.9825811 
 00.49.08.01  +40.19.00.77       28.8988851       30.0962283 
 00.49.10.68  +40.18.21.67       28.5040133       29.5165760 
 00.49.05.56  +40.19.36.57       28.6218112       29.8408932 
 00.49.10.90  +40.18.18.29       28.7201220       29.4066014 
 00.49.10.28  +40.18.27.36       28.2227916       29.3005709 
 00.49.10.75  +40.18.20.53       27.3040133       28.3165760 
 00.49.10.14  +40.18.29.35       28.4037720       29.3402486 
 00.49.11.56  +40.18.08.65       29.3081460       30.7228780 
 00.49.11.14  +40.18.14.63       27.5435307       28.4039212 
 00.49.14.55  +40.17.24.71       30.1793980       30.6376192 
 00.49.07.11  +40.19.13.63       28.6581611       29.6272461 
 00.49.09.51  +40.18.38.50       26.1306046       26.9692562 
 00.49.11.79  +40.18.05.07       28.7186438       29.8399009 
 00.49.08.72  +40.18.49.87       27.5335307       28.3939212 
 00.49.07.01  +40.19.14.95       28.5513285       29.6182384 
 00.49.12.86  +40.17.49.26       28.9654612       30.4345404 
 00.49.05.65  +40.19.34.79       22.5496393       23.0839466 
 00.49.05.98  +40.19.29.90       28.9888851       30.1862283 
 00.49.07.75  +40.19.04.00       29.4549937       30.3262537 
 00.49.06.00  +40.19.29.57       29.6452351       30.5925811 
 00.49.07.60  +40.19.06.16       29.3264416       30.6542181 
 00.49.09.32  +40.18.41.03       25.1762155       25.9822588 
 00.49.14.43  +40.17.26.05       29.2032742       30.4332257 
 00.49.10.46  +40.18.24.16       28.6454764       29.6689085 
 00.49.12.47  +40.17.54.75       28.7618112       29.9808932 
 00.49.14.62  +40.17.23.18       28.7827916       29.8605709 
 00.49.05.94  +40.19.30.32       29.5623241       30.0422842 
 00.49.07.94  +40.19.00.97       27.9203481       29.1285607 
 00.49.09.22  +40.18.42.35       29.7496242       30.7295785 
 00.49.11.55  +40.18.08.12       28.1759590       29.3515633 
 00.49.13.39  +40.17.41.24       29.2435307       30.1039212 
 00.49.15.41  +40.17.11.49       26.9218263       27.6952613 
 00.49.07.90  +40.19.01.42       28.8840133       29.8965760 
 00.49.08.32  +40.18.55.26       29.1316002       29.3833020 
 00.49.12.04  +40.18.00.77       28.1323090       29.0579161 
 00.49.13.81  +40.17.34.78       28.1227916       29.2005709 
 00.49.05.91  +40.19.30.50       29.0118112       30.2308932 
 00.49.08.34  +40.18.54.84       29.0013437       29.6226065 
 00.49.09.39  +40.18.39.47       28.5623090       29.4879161 
 00.49.09.90  +40.18.32.02       28.2744960       29.4392308 
 00.49.10.91  +40.18.17.13       29.1881763       29.7116141 
 00.49.07.09  +40.19.13.12       27.2535155       28.5595531 
 00.49.09.01  +40.18.44.95       29.3989002       30.1505963 
 00.49.10.23  +40.18.27.01       29.1166981       30.0749136 
 00.49.10.95  +40.18.16.48       28.2447524       29.0399263 
 00.49.11.41  +40.18.09.71       29.5142698       30.1572715 
 00.49.12.41  +40.17.55.03       27.1764568       28.0585862 
 00.49.13.08  +40.17.45.33       28.4730329       29.6268983 
 00.49.13.57  +40.17.38.05       28.2247373       29.4655582 
 00.49.12.21  +40.17.57.98       28.9498655       30.0059059 
 00.49.07.85  +40.19.01.78       27.9923090       28.9179161 
 00.49.11.96  +40.18.01.53       27.6330329       28.7868983 
 00.49.05.70  +40.19.33.13       25.1189002       25.8705963 
 00.49.06.82  +40.19.16.78       27.5210872       28.5119110 
 00.49.14.75  +40.17.20.56       28.5606046       29.3992562 
 00.49.05.37  +40.19.38.06       28.5113285       29.5782384 
 00.49.12.36  +40.17.55.55       29.0135307       29.8739212 
 00.49.13.70  +40.17.35.95       28.2666981       29.2249136 
 00.49.15.21  +40.17.13.81       28.2366829       29.6405455 
 00.49.09.37  +40.18.39.34       30.1003633       30.8629288 
 00.49.06.89  +40.19.15.57       28.7932742       30.0232257 
 00.49.09.72  +40.18.34.06       28.9957177       30.0952359 
 00.49.10.78  +40.18.18.52       28.9520676       29.8015887 
 00.49.05.34  +40.19.38.30       29.2449937       30.1162537 
 00.49.06.32  +40.19.23.88       29.0998655       30.1559059 
 00.49.07.56  +40.19.05.66       28.6637569       30.0458805 
 00.49.07.90  +40.19.00.77       29.1218112       30.3408932 
 00.49.13.45  +40.17.39.33       27.6264568       28.5085862 
 00.49.15.10  +40.17.15.20       27.9796242       28.9595785 
 00.49.05.93  +40.19.29.58       29.0374220       30.2238958 
 00.49.06.54  +40.19.20.61       27.7801068       28.9122333 
 00.49.09.41  +40.18.38.61       26.9525503       27.9542435 
 00.49.14.56  +40.17.23.12       28.7944808       30.4048627 
 00.49.15.53  +40.17.08.94       27.1179198       28.0109187 
 00.49.12.13  +40.17.58.56       29.1230329       30.2768983 
 00.49.12.63  +40.17.51.17       28.3040133       29.3165760 
 00.49.13.53  +40.17.38.11       28.3759590       29.5515633 
 00.49.05.82  +40.19.30.88       29.1488851       30.3462283 
 00.49.12.29  +40.17.56.14       27.1227916       28.2005709 
 00.49.05.92  +40.19.29.35       27.3625503       28.3642435 
 00.49.07.91  +40.19.00.29       27.9244960       29.0892308 
 00.49.08.47  +40.18.52.00       28.8298655       29.8859059 
 00.49.09.91  +40.18.30.98       29.6013285       30.6682384 
 00.49.11.13  +40.18.13.11       27.9623090       28.8879161 
 00.49.09.68  +40.18.34.17       29.1820676       30.0315887 
 00.49.10.57  +40.18.21.29       28.9557328       29.6096040 
 00.49.07.43  +40.19.07.23       29.2120676       30.0615887 
 00.49.13.42  +40.17.39.36       28.6215699       29.7645658 
 00.49.04.90  +40.19.44.07       28.6698655       29.7259059 
 00.49.06.44  +40.19.21.51       28.0540133       29.0665760 
 00.49.05.38  +40.19.37.10       27.9366981       28.8949136 
 00.49.09.86  +40.18.31.45       28.4171807       29.5275684 
 00.49.10.77  +40.18.18.10       28.8666981       29.8249136 
 00.49.09.42  +40.18.37.90       27.5174220       28.7038958 
 00.49.15.20  +40.17.13.16       29.1569394       30.1912410 
 00.49.12.02  +40.17.59.70       29.4427916       30.5205709 
 00.49.12.62  +40.17.50.88       29.0562003       30.3078907 
 00.49.12.90  +40.17.46.86       29.0562003       30.3078907 
 00.49.05.04  +40.19.41.90       28.4893677       29.8388831 
 00.49.06.42  +40.19.21.68       30.0110721       31.4475430 
 00.49.05.23  +40.19.38.96       29.0510721       30.4875430 
 00.49.07.83  +40.19.00.97       27.8354764       28.8589085 
 00.49.12.77  +40.17.48.61       28.9471807       30.0575684 
 00.49.06.63  +40.19.18.45       29.2166981       30.1749136 
 00.49.06.35  +40.19.22.60       28.2215699       29.3645658 
 00.49.07.96  +40.18.58.85       27.8998655       28.9559059 
 00.49.12.20  +40.17.56.84       29.0820676       29.9315887 
 00.49.07.23  +40.19.09.55       27.2310872       28.2219110 
 00.49.10.06  +40.18.28.10       28.8088851       30.0062283 
 00.49.13.13  +40.17.43.12       29.2059590       30.3815633 
 00.49.13.42  +40.17.38.91       29.1249786       30.4418856 
 00.49.08.66  +40.18.48.62       25.7235307       26.5839212 
 00.49.12.81  +40.17.47.79       29.3554764       30.3789085 
 00.49.14.02  +40.17.30.06       29.0957177       30.1952359 
 00.49.10.36  +40.18.23.65       29.2162155       30.0222588 
 00.49.05.82  +40.19.30.06       28.2501068       29.3822333 
 00.49.07.71  +40.19.02.30       28.8559742       29.5859314 
 00.49.08.92  +40.18.44.54       28.6693829       29.5732511 
 00.49.10.47  +40.18.21.87       29.7532894       30.5375938 
 00.49.09.01  +40.18.43.26       28.0954764       29.1189085 
 00.49.07.00  +40.19.12.52       28.7120676       29.5615887 
 00.49.08.76  +40.18.46.73       28.5469394       29.5812410 
 00.49.12.48  +40.17.52.22       28.8886438       30.0099009 
 00.49.12.95  +40.17.45.33       29.3323090       30.2579161 
 00.49.13.99  +40.17.30.16       28.8176634       30.0802232 
 00.49.07.22  +40.19.09.18       28.6440133       29.6565760 
 00.49.10.24  +40.18.25.05       28.9074372       29.6482638 
 00.49.11.16  +40.18.11.59       29.0244960       30.1892308 
 00.49.04.69  +40.19.46.31       28.3398655       29.3959059 
 00.49.08.64  +40.18.48.50       25.0708459       25.9855836 
 00.49.08.81  +40.18.45.87       29.2379198       30.1309187 
 00.49.12.43  +40.17.52.84       28.7615699       29.9045658 
 00.49.13.57  +40.17.36.06       29.8362003       31.0878907 
 00.49.04.75  +40.19.45.27       29.1218112       30.3408932 
 00.49.07.61  +40.19.03.37       28.7442546       29.8329034 
 00.49.08.05  +40.18.56.97       28.9789002       29.7305963 
 00.49.11.45  +40.18.07.05       24.8649937       25.7362537 
 00.49.13.22  +40.17.41.15       29.0952351       30.0425811 
 00.49.13.44  +40.17.37.93       29.4223090       30.3479161 
 00.49.07.13  +40.19.10.34       29.5393829       30.4432511 
 00.49.05.29  +40.19.37.28       28.3201068       29.4522333 
 00.49.06.42  +40.19.20.75       26.8535307       27.7139212 
 00.49.14.88  +40.17.16.68       28.2484025       29.2935735 
 00.49.08.50  +40.18.50.13       28.3925503       29.3942435 
 00.49.11.28  +40.18.09.50       28.4023090       29.3279161 
 00.49.04.93  +40.19.42.37       28.5354612       30.0045404 
 00.49.09.94  +40.18.29.06       28.6701068       29.8022333 
 00.49.11.10  +40.18.12.10       28.3520525       29.6472206 
 00.49.11.39  +40.18.07.75       28.8135307       29.6739212 
 00.49.06.52  +40.19.19.11       29.2291416       30.0569237 
 00.49.07.38  +40.19.06.42       28.9371807       30.0475684 
 00.49.07.53  +40.19.04.25       24.9506046       25.7892562 
 00.49.12.46  +40.17.52.10       29.3954764       30.4189085 
 00.49.14.73  +40.17.18.78       28.4698655       29.5259059 
 00.49.04.89  +40.19.42.83       29.4974220       30.6838958 
 00.49.05.78  +40.19.29.67       29.3796393       29.9139466 
 00.49.06.51  +40.19.18.98       28.3601068       29.4922333 
 00.49.14.29  +40.17.25.00       29.1464416       30.4742181 
 00.49.10.22  +40.18.24.65       28.9125503       29.9142435 
 00.49.12.33  +40.17.53.62       28.6666829       30.0705455 
 00.49.15.02  +40.17.14.24       29.0754612       30.5445404 
 00.49.15.05  +40.17.13.82       24.2432894       25.0275938 
 00.49.05.21  +40.19.37.79       27.9069394       28.9412410 
 00.49.15.41  +40.17.08.51       28.8481460       30.2628780 
 00.49.04.99  +40.19.41.07       28.9718112       30.1908932 
 00.49.15.09  +40.17.13.05       28.5598655       29.6159059 
 00.49.05.35  +40.19.35.69       29.0700917       30.6478653 
 00.49.11.32  +40.18.08.25       28.3862003       29.6378907 
 00.49.10.48  +40.18.20.50       27.2706046       28.1092562 
 00.49.08.34  +40.18.51.81       28.1354764       29.1589085 
 00.49.12.92  +40.17.44.61       29.3542698       29.9972715 
 00.49.15.21  +40.17.11.11       27.9871807       29.0975684 
 00.49.10.58  +40.18.18.91       28.6752351       29.6225811 
 00.49.11.38  +40.18.07.23       28.4681611       29.4372461 
 00.49.09.84  +40.18.29.69       27.7103481       28.9185607 
 00.49.10.59  +40.18.18.74       28.8418112       30.0608932 
 00.49.11.89  +40.17.59.66       28.8474220       30.0338958 
 00.49.12.70  +40.17.47.78       28.2215699       29.3645658 
 00.49.08.73  +40.18.45.93       29.4354764       30.4589085 
 00.49.04.63  +40.19.45.83       28.3459590       29.5215633 
 00.49.07.96  +40.18.57.10       25.0408459       25.9555836 
 00.49.07.00  +40.19.11.11       29.0508459       29.9655836 
 00.49.10.05  +40.18.26.39       29.5035307       30.3639212 
 00.49.12.43  +40.17.51.55       29.1603481       30.3685607 
 00.49.13.63  +40.17.34.04       29.4952351       30.4425811 
 00.49.06.05  +40.19.24.96       29.1074220       30.2938958 
 00.49.10.78  +40.18.15.71       29.2603633       30.0229288 
 00.49.12.74  +40.17.46.94       23.3213437       23.9426065 
 00.49.10.15  +40.18.24.86       28.8262003       30.0778907 
 00.49.12.72  +40.17.47.15       29.6086741       29.8386370 
 00.49.14.95  +40.17.14.46       28.9462003       30.1978907 
 00.49.08.09  +40.18.54.92       28.5705894       29.8548881 
 00.49.09.74  +40.18.30.84       25.3515850       26.0489339 
 00.49.09.96  +40.18.27.57       29.6408611       30.1099517 
 00.49.14.24  +40.17.24.81       28.6142546       29.7029034 
 00.49.14.70  +40.17.18.07       29.4086589       30.0842689 
 00.49.14.83  +40.17.16.10       27.3647524       28.1599263 
 00.49.12.20  +40.17.54.65       29.2706046       30.1092562 
 00.49.12.89  +40.17.44.52       28.3642546       29.4529034 
 00.49.04.76  +40.19.43.60       29.6876785       30.5045912 
 00.49.13.00  +40.17.42.93       28.2698655       29.3259059 
 00.49.07.63  +40.19.01.54       28.4586438       29.5799009 
 00.49.14.12  +40.17.26.30       28.4088851       29.6062283 
 00.49.15.32  +40.17.08.73       28.0464568       28.9285862 
 00.49.11.76  +40.18.00.97       26.0779198       26.9709187 
 00.49.05.68  +40.19.29.93       28.6603481       29.8685607 
 00.49.10.67  +40.18.16.80       28.5615699       29.7045658 
 00.49.11.06  +40.18.11.13       29.2518263       30.0252613 
 00.49.15.00  +40.17.13.42       28.1759590       29.3515633 
 00.49.06.52  +40.19.17.51       29.1086286       30.6755328 
 00.49.14.53  +40.17.20.19       29.2171807       30.3275684 
 00.49.07.79  +40.18.58.83       28.5286438       29.6499009 
 00.49.11.65  +40.18.02.29       25.1079198       26.0009187 
 00.49.09.16  +40.18.38.79       29.0776634       30.3402232 
 00.49.05.24  +40.19.36.07       28.7130329       29.8668983 
 00.49.12.81  +40.17.45.17       29.1679047       30.5065506 
 00.49.09.66  +40.18.31.39       29.1235307       29.9839212 
 00.49.12.48  +40.17.49.95       28.4315699       29.5745658 
 00.49.04.68  +40.19.44.22       28.7832742       30.0132257 
 00.49.04.87  +40.19.41.38       26.7854764       27.8089085 
 00.49.08.10  +40.18.54.02       28.9125503       29.9142435 
 00.49.13.18  +40.17.39.69       29.0330481       29.7412664 
 00.49.07.71  +40.18.59.69       26.0235307       26.8839212 
 00.49.05.90  +40.19.26.20       28.3186438       29.4399009 
 00.49.06.06  +40.19.23.77       29.2274220       30.4138958 
 00.49.07.05  +40.19.09.39       27.9898655       29.0459059 
 00.49.08.65  +40.18.45.88       29.6784328       29.8323096 
 00.49.09.02  +40.18.40.51       28.0454764       29.0689085 
 00.49.13.03  +40.17.41.77       28.8142546       29.9029034 
 00.49.13.21  +40.17.39.05       27.5127916       28.5905709 
 00.49.07.41  +40.19.04.07       29.1666829       30.5705455 
 00.49.09.21  +40.18.37.70       28.0049786       29.3218856 
 00.49.12.12  +40.17.55.04       29.2340133       30.2465760 
 00.49.07.59  +40.19.01.36       28.6679198       29.5609187 
 00.49.09.87  +40.18.27.86       29.5298503       31.0315379 
 00.49.11.45  +40.18.04.80       24.5125654       25.0686116 
 00.49.06.18  +40.19.21.80       27.6549937       28.5262537 
 00.49.13.35  +40.17.36.79       29.3498807       29.9602740 
 00.49.14.83  +40.17.15.17       28.3898655       29.4459059 
 00.49.07.84  +40.18.57.50       28.6674372       29.4082638 
 00.49.08.10  +40.18.53.75       28.7413285       29.8082384 
 00.49.14.92  +40.17.13.88       29.3901220       30.0766014 
 00.49.06.91  +40.19.11.09       29.2396242       30.2195785 
 00.49.10.51  +40.18.18.30       28.0471807       29.1575684 
 00.49.13.54  +40.17.33.95       29.6308459       30.5455836 
 00.49.11.16  +40.18.08.71       28.3296242       29.3095785 
 00.49.11.24  +40.18.07.64       29.1432742       30.3732257 
 00.49.12.71  +40.17.46.07       29.1110872       30.1019110 
 00.49.12.89  +40.17.43.34       27.9718263       28.7452613 
 00.49.13.96  +40.17.27.73       28.7518263       29.5252613 
 00.49.13.97  +40.17.27.51       28.0801068       29.2122333 
 00.49.09.85  +40.18.27.84       28.6969394       29.7312410 
 00.49.11.08  +40.18.09.79       29.1425503       30.1442435 
 00.49.06.01  +40.19.24.00       29.3467133       29.8592816 
 00.49.07.83  +40.18.57.36       29.1423090       30.0679161 
 00.49.08.88  +40.18.42.02       29.6369394       30.6712410 
 00.49.07.31  +40.19.04.95       28.6781611       29.6472461 
 00.49.07.51  +40.19.02.08       28.7264568       29.6085862 
 00.49.08.86  +40.18.42.17       28.7996242       29.7795785 
 00.49.10.62  +40.18.16.42       29.1042698       29.7472715 
 00.49.11.04  +40.18.10.18       28.9264568       29.8085862 
 00.49.11.24  +40.18.07.27       28.2293829       29.1332511 
 00.49.07.09  +40.19.08.03       28.8745111       29.5935989 
 00.49.10.23  +40.18.21.99       29.1525503       30.1542435 
 00.49.12.17  +40.17.53.65       28.3571807       29.4675684 
 00.49.12.51  +40.17.48.60       29.0103481       30.2185607 
 00.49.14.97  +40.17.12.55       29.0210872       30.0119110 
 00.49.04.69  +40.19.43.07       28.2479047       29.5865506 
 00.49.10.64  +40.18.15.87       28.3230329       29.4768983 
 00.49.06.66  +40.19.14.27       29.1528067       29.7849390 
 00.49.10.91  +40.18.11.89       29.1108459       30.0255836 
 00.49.14.08  +40.17.25.37       28.2444960       29.4092308 
 00.49.06.00  +40.19.23.70       28.8220676       29.6715887 
 00.49.15.06  +40.17.10.98       28.3801068       29.5122333 
 00.49.10.23  +40.18.21.71       28.9211024       29.4662791 
 00.49.11.03  +40.18.09.97       28.1371807       29.2475684 
 00.49.05.72  +40.19.27.73       28.9764416       30.3042181 
 00.49.06.03  +40.19.23.20       28.7005894       29.9848881 
 00.49.08.75  +40.18.43.39       29.1413285       30.2082384 
 00.49.14.17  +40.17.23.96       29.4352199       30.8282130 
 00.49.07.04  +40.19.08.32       29.2849937       30.1562537 
 00.49.10.69  +40.18.14.84       28.0210872       29.0119110 
 00.49.13.87  +40.17.28.37       29.2562003       30.5078907 
 00.49.06.99  +40.19.08.99       28.1808459       29.0955836 
 00.49.09.20  +40.18.36.65       29.1227916       30.2005709 
 00.49.09.71  +40.18.29.13       28.4710872       29.4619110 
 00.49.06.77  +40.19.12.14       29.0110721       30.4475430 
 00.49.07.18  +40.19.06.15       28.7881611       29.7572461 
 00.49.08.55  +40.18.46.07       28.4381460       29.8528780 
 00.49.13.42  +40.17.34.76       28.8362003       30.0878907 
 00.49.08.75  +40.18.43.03       29.4727613       31.4418348 
 00.49.09.41  +40.18.33.43       28.0910872       29.0819110 
 00.49.09.59  +40.18.30.64       27.9710872       28.9619110 
 00.49.10.63  +40.18.15.43       28.3962003       29.6478907 
 00.49.08.18  +40.18.51.29       28.8508308       30.2112156 
 00.49.08.24  +40.18.50.30       28.3384025       29.3835735 
 00.49.07.34  +40.19.03.42       28.8798655       29.9359059 
 00.49.13.46  +40.17.33.85       29.7342698       30.3772715 
 00.49.13.95  +40.17.26.56       27.2901068       28.4222333 
 00.49.06.04  +40.19.22.40       29.5508459       30.4655836 
 00.49.10.65  +40.18.14.80       27.6008459       28.5155836 
 00.49.08.54  +40.18.45.72       29.7659590       30.9415633 
 00.49.13.67  +40.17.30.49       28.6803481       29.8885607 
 00.49.07.54  +40.19.00.24       29.1571807       30.2675684 
 00.49.10.25  +40.18.20.49       28.7574220       29.9438958 
 00.49.13.20  +40.17.37.42       28.7662003       30.0178907 
 00.49.05.90  +40.19.24.17       28.7132742       29.9432257 
 00.49.07.92  +40.18.54.61       28.2015699       29.3445658 
 00.49.11.16  +40.18.07.10       25.9635307       26.8239212 
 00.49.14.38  +40.17.19.96       28.9657177       30.0652359 
 00.49.07.64  +40.18.58.60       27.2679198       28.1609187 
 00.49.13.02  +40.17.39.84       28.4837720       29.4202486 
 00.49.06.65  +40.19.13.04       29.0986438       30.2199009 
 00.49.09.43  +40.18.32.31       28.7157177       29.8152359 
 00.49.08.80  +40.18.41.54       28.2918112       29.5108932 
 00.49.12.02  +40.17.54.37       28.3464416       29.6742181 
 00.49.06.33  +40.19.17.71       28.3957177       29.4952359 
 00.49.08.27  +40.18.49.26       30.1054764       31.1289085 
 00.49.08.48  +40.18.46.18       29.3084025       30.3535735 
 00.49.14.98  +40.17.10.90       25.5447524       26.3399263 
 00.49.10.21  +40.18.20.77       29.0144960       30.1792308 
 00.49.09.82  +40.18.26.40       28.2281611       29.1972461 
 00.49.08.18  +40.18.50.47       26.9364568       27.8185862 
 00.49.13.83  +40.17.27.63       28.8696090       30.2952105 
 00.49.15.19  +40.17.07.72       29.2266981       30.1849136 
 00.49.14.63  +40.17.15.93       28.2764568       29.1585862 
 00.49.04.70  +40.19.41.29       29.0884025       30.1335735 
 00.49.06.83  +40.19.10.02       28.5974220       29.7838958 
 00.49.10.29  +40.18.19.36       29.0852351       30.0325811 
 00.49.12.16  +40.17.52.02       29.0679198       29.9609187 
 00.49.08.94  +40.18.39.12       28.5976785       29.4145912 
 00.49.04.86  +40.19.38.75       29.2403481       30.4485607 
 00.49.05.44  +40.19.30.34       29.0627916       30.1405709 
 00.49.07.86  +40.18.54.77       28.9669394       30.0012410 
 00.49.04.81  +40.19.39.36       26.0264568       26.9085862 
 00.49.05.56  +40.19.28.53       28.9844960       30.1492308 
 00.49.07.65  +40.18.57.86       28.7010872       29.6919110 
 00.49.08.81  +40.18.40.87       29.5132894       30.2975938 
 00.49.12.07  +40.17.53.13       28.6601220       29.3466014 
 00.49.09.99  +40.18.23.60       28.7437720       29.6802486 
 00.49.13.88  +40.17.26.53       25.6330177       27.2325302 
 00.49.07.96  +40.18.53.16       28.6762155       29.4822588 
 00.49.09.50  +40.18.30.59       27.5518263       28.3252613 
 00.49.15.14  +40.17.07.89       28.3944960       29.5592308 
 00.49.07.72  +40.18.56.48       28.7030329       29.8568983 
 00.49.08.09  +40.18.51.14       28.8944960       30.0592308 
 00.49.11.86  +40.17.55.90       26.8249937       27.6962537 
 00.49.12.71  +40.17.43.51       29.4740133       30.4865760 
 00.49.09.28  +40.18.33.61       29.1189002       29.8705963 
 00.49.12.49  +40.17.46.49       28.3918112       29.6108932 
 00.49.13.94  +40.17.25.32       29.2437569       30.6258805 
 00.49.15.21  +40.17.06.71       29.0976785       29.9145912 
 00.49.06.01  +40.19.21.42       28.6403481       29.8485607 
 00.49.11.81  +40.17.56.42       28.5849786       29.9018856 
 00.49.04.51  +40.19.43.26       28.7069394       29.7412410 
 00.49.06.21  +40.19.18.35       28.2110872       29.2019110 
 00.49.08.40  +40.18.46.42       28.3557177       29.4552359 
