          RA           DEC             R062             Z087 
 00.49.11.42  +40.18.43.03       29.2032894       29.9875938 
 00.49.12.89  +40.18.21.46       28.8386438       29.9599009 
 00.49.08.80  +40.19.21.36       28.5371807       29.6475684 
 00.49.09.41  +40.19.12.30       28.5269394       29.5612410 
 00.49.14.92  +40.17.51.70       28.3937720       29.3302486 
 00.49.13.73  +40.18.09.12       25.3445111       26.0635989 
 00.49.13.12  +40.18.18.01       29.6220525       30.9172206 
 00.49.14.33  +40.18.00.21       28.6171807       29.7275684 
 00.49.07.94  +40.19.33.74       27.7469394       28.7812410 
 00.49.09.64  +40.19.08.89       27.6818263       28.4552613 
 00.49.09.61  +40.19.09.25       28.6766981       29.6349136 
 00.49.06.40  +40.19.56.15       29.2413285       30.3082384 
 00.49.06.81  +40.19.50.13       28.1613285       29.2282384 
 00.49.10.83  +40.18.51.29       29.0571656       30.6132003 
 00.49.11.44  +40.18.42.39       29.2867133       29.7992816 
 00.49.06.25  +40.19.58.31       29.7420676       30.5915887 
 00.49.08.30  +40.19.28.23       28.3910872       29.3819110 
 00.49.10.97  +40.18.49.16       28.4862003       29.7378907 
 00.49.12.01  +40.18.33.97       28.8564568       29.7385862 
 00.49.07.00  +40.19.47.28       29.3364568       30.2185862 
 00.49.08.91  +40.19.19.30       27.2349937       28.1062537 
 00.49.09.80  +40.19.06.23       29.0478744       31.2778144 
 00.49.10.31  +40.18.58.76       28.0613285       29.1282384 
 00.49.15.07  +40.17.49.04       29.2252351       30.1725811 
 00.49.12.81  +40.18.22.10       28.1944960       29.3592308 
 00.49.06.99  +40.19.47.21       28.7957177       29.8952359 
 00.49.11.66  +40.18.38.88       29.2801220       29.9666014 
 00.49.08.63  +40.19.23.26       28.1198655       29.1759059 
 00.49.13.56  +40.18.10.85       28.4569394       29.4912410 
 00.49.14.54  +40.17.56.55       30.1225806       30.2329797 
 00.49.06.84  +40.19.49.35       28.6186438       29.7399009 
 00.49.13.79  +40.18.07.55       28.6259590       29.8015633 
 00.49.09.18  +40.19.14.93       28.9513285       30.0182384 
 00.49.12.37  +40.18.28.22       28.2330481       28.9412664 
 00.49.12.70  +40.18.23.33       28.8793829       29.7832511 
 00.49.11.39  +40.18.42.52       29.2908459       30.2055836 
 00.49.13.80  +40.18.07.21       29.2923090       30.2179161 
 00.49.14.84  +40.17.51.94       29.0330329       30.1868983 
 00.49.09.82  +40.19.05.46       28.3818112       29.6008932 
 00.49.12.10  +40.18.32.06       28.4437720       29.3802486 
 00.49.15.22  +40.17.46.40       28.7754764       29.7989085 
 00.49.15.79  +40.17.37.95       27.3915699       28.5345658 
 00.49.11.05  +40.18.47.32       28.5142546       29.6029034 
 00.49.14.82  +40.17.52.12       28.4057177       29.5052359 
 00.49.08.38  +40.19.26.52       29.4296242       30.4095785 
 00.49.09.58  +40.19.08.90       29.2725351       30.7198754 
 00.49.09.97  +40.19.03.03       27.7098655       28.7659059 
 00.49.12.60  +40.18.24.58       29.2791416       30.1069237 
 00.49.14.25  +40.18.00.45       28.1164568       28.9985862 
 00.49.14.87  +40.17.51.33       28.6418112       29.8608932 
 00.49.15.04  +40.17.48.74       29.4915699       30.6345658 
 00.49.15.94  +40.17.35.65       29.2166981       30.1749136 
 00.49.14.22  +40.18.00.74       29.4586438       30.5799009 
 00.49.15.47  +40.17.42.38       29.1979198       30.0909187 
 00.49.06.87  +40.19.48.36       29.2396242       30.2195785 
 00.49.16.72  +40.17.24.04       28.3901068       29.5222333 
 00.49.16.31  +40.17.30.07       28.8718263       29.6452613 
 00.49.07.33  +40.19.41.60       27.8352351       28.7825811 
 00.49.07.53  +40.19.38.48       28.5281611       29.4972461 
 00.49.06.25  +40.19.57.21       29.0479047       30.3865506 
 00.49.11.69  +40.18.37.44       25.2737720       26.2102486 
 00.49.14.62  +40.17.54.56       28.4069394       29.4412410 
 00.49.08.91  +40.19.18.09       28.1210872       29.1119110 
 00.49.13.45  +40.18.11.55       28.9235307       29.7839212 
 00.49.14.25  +40.17.59.99       29.1735307       30.0339212 
 00.49.09.56  +40.19.08.68       28.5237720       29.4602486 
 00.49.10.44  +40.18.55.69       27.2579198       28.1509187 
 00.49.12.67  +40.18.22.84       29.1537569       30.5358805 
 00.49.15.60  +40.17.39.89       29.2788851       30.4762283 
 00.49.15.70  +40.17.38.55       28.7049786       30.0218856 
 00.49.06.40  +40.19.54.74       28.9013285       29.9682384 
 00.49.12.96  +40.18.18.58       29.0435307       29.9039212 
 00.49.16.09  +40.17.32.71       28.8284025       29.8735735 
 00.49.16.79  +40.17.22.44       28.4737720       29.4102486 
 00.49.08.92  +40.19.17.69       29.1462155       29.9522588 
 00.49.10.66  +40.18.52.18       26.7423090       27.6679161 
 00.49.08.98  +40.19.16.75       27.9071807       29.0175684 
 00.49.15.24  +40.17.45.06       27.9640133       28.9765760 
 00.49.12.87  +40.18.19.65       28.0825503       29.0842435 
 00.49.16.63  +40.17.24.54       28.6371807       29.7475684 
 00.49.09.62  +40.19.07.16       28.8447524       29.6399263 
 00.49.09.81  +40.19.04.39       29.2379198       30.1309187 
 00.49.14.81  +40.17.51.15       29.0996545       29.1883147 
 00.49.16.49  +40.17.26.47       28.8327764       30.3562028 
 00.49.09.24  +40.19.12.77       28.5776634       29.8402232 
 00.49.14.82  +40.17.50.95       29.2106046       30.0492562 
 00.49.16.70  +40.17.23.45       29.0876785       29.9045912 
 00.49.09.32  +40.19.11.44       26.6776785       27.4945912 
 00.49.09.81  +40.19.04.23       28.9115699       30.0545658 
 00.49.10.15  +40.18.59.15       28.4903633       29.2529288 
 00.49.15.11  +40.17.46.58       28.7774220       29.9638958 
 00.49.07.54  +40.19.37.39       29.1330329       30.2868983 
 00.49.08.28  +40.19.26.56       28.8674372       29.6082638 
 00.49.11.37  +40.18.41.38       28.2910872       29.2819110 
 00.49.16.79  +40.17.21.92       29.1218112       30.3408932 
 00.49.06.26  +40.19.56.10       25.7235307       26.5839212 
 00.49.14.11  +40.18.01.07       28.7388851       29.9362283 
 00.49.08.48  +40.19.23.57       29.2698503       30.7715379 
 00.49.09.20  +40.19.12.99       27.9825503       28.9842435 
 00.49.16.72  +40.17.22.82       29.0176785       29.8345912 
 00.49.10.97  +40.18.46.91       26.3859590       27.5615633 
 00.49.09.04  +40.19.15.14       28.8986438       30.0199009 
 00.49.07.04  +40.19.44.49       28.3930329       29.5468983 
 00.49.07.10  +40.19.43.52       29.0891264       30.3625557 
 00.49.12.72  +40.18.21.28       28.9684025       30.0135735 
 00.49.07.40  +40.19.39.04       29.2281611       30.1972461 
 00.49.07.92  +40.19.31.55       29.2606046       30.0992562 
 00.49.08.11  +40.19.28.72       29.8845263       30.1579669 
 00.49.15.38  +40.17.42.22       26.8337720       27.7702486 
 00.49.06.77  +40.19.48.33       28.8905894       30.1748881 
 00.49.07.67  +40.19.35.08       27.0523090       27.9779161 
 00.49.09.08  +40.19.14.37       28.6601068       29.7922333 
 00.49.09.24  +40.19.12.05       28.7669394       29.8012410 
 00.49.10.32  +40.18.56.30       30.0769697       30.2199771 
 00.49.12.60  +40.18.22.91       28.4230329       29.5768983 
 00.49.13.77  +40.18.05.65       28.4918112       29.7108932 
 00.49.09.97  +40.19.01.22       28.1657177       29.2652359 
 00.49.13.68  +40.18.06.86       28.9725503       29.9742435 
 00.49.06.24  +40.19.55.80       26.3081611       27.2772461 
 00.49.11.43  +40.18.39.77       28.6123090       29.5379161 
 00.49.14.64  +40.17.52.71       29.4506046       30.2892562 
 00.49.10.59  +40.18.52.14       28.5688851       29.7662283 
 00.49.14.99  +40.17.47.54       28.5452351       29.4925811 
 00.49.08.34  +40.19.24.96       28.6874220       29.8738958 
 00.49.09.27  +40.19.11.34       29.0127764       30.5362028 
 00.49.16.86  +40.17.20.11       28.7737569       30.1558805 
 00.49.11.49  +40.18.38.75       28.8418112       30.0608932 
 00.49.13.96  +40.18.02.68       28.3271807       29.4375684 
 00.49.16.88  +40.17.19.77       28.7540133       29.7665760 
 00.49.12.80  +40.18.19.62       28.2674220       29.4538958 
 00.49.15.54  +40.17.39.47       29.2291416       30.0569237 
 00.49.06.02  +40.19.58.75       27.7215699       28.8645658 
 00.49.13.62  +40.18.07.55       28.8042546       29.8929034 
 00.49.11.28  +40.18.41.73       29.3866981       30.3449136 
 00.49.14.91  +40.17.48.40       28.9179047       30.2565506 
 00.49.15.75  +40.17.36.10       28.8947524       29.6899263 
 00.49.16.35  +40.17.27.20       29.0959590       30.2715633 
 00.49.15.76  +40.17.35.89       28.9893829       29.8932511 
 00.49.09.56  +40.19.06.58       28.3020676       29.1515887 
 00.49.13.66  +40.18.06.51       29.2947373       30.5355582 
 00.49.13.31  +40.18.11.68       29.4247373       30.6655582 
 00.49.08.46  +40.19.22.59       29.6676785       30.4845912 
 00.49.10.19  +40.18.57.36       29.4606198       29.8536243 
 00.49.11.00  +40.18.45.44       29.1386589       29.8142689 
 00.49.06.94  +40.19.44.88       28.8915699       30.0345658 
 00.49.07.30  +40.19.39.62       29.6720525       30.9672206 
 00.49.11.42  +40.18.39.22       28.7249786       30.0418856 
 00.49.12.40  +40.18.24.79       26.8362155       27.6422588 
 00.49.14.06  +40.18.00.54       29.3035307       30.1639212 
 00.49.14.34  +40.17.56.41       29.7996393       30.3339466 
 00.49.06.48  +40.19.51.53       27.8559590       29.0315633 
 00.49.08.97  +40.19.14.99       28.0927916       29.1705709 
 00.49.10.46  +40.18.53.18       28.2793829       29.1832511 
 00.49.11.22  +40.18.42.08       29.0649786       30.3818856 
 00.49.14.50  +40.17.53.93       28.0176634       29.2802232 
 00.49.06.57  +40.19.50.08       29.4379198       30.3309187 
 00.49.09.54  +40.19.06.61       26.6006046       27.4392562 
 00.49.10.37  +40.18.54.47       28.5449786       29.8618856 
 00.49.13.13  +40.18.14.13       28.7154764       29.7389085 
 00.49.15.50  +40.17.39.38       29.0784025       30.1235735 
 00.49.12.22  +40.18.27.29       28.3330329       29.4868983 
 00.49.13.40  +40.18.09.97       28.7544960       29.9192308 
 00.49.06.27  +40.19.54.35       28.1366981       29.0949136 
 00.49.11.78  +40.18.33.59       28.8920676       29.7415887 
 00.49.13.77  +40.18.04.57       28.1918112       29.4108932 
 00.49.06.13  +40.19.56.26       29.1791264       30.4525557 
 00.49.06.97  +40.19.44.03       28.8488851       30.0462283 
 00.49.07.47  +40.19.36.65       29.2764416       30.6042181 
 00.49.16.09  +40.17.30.31       27.9893677       29.3388831 
 00.49.06.42  +40.19.51.97       29.7728067       30.4049390 
 00.49.07.14  +40.19.41.43       28.7810872       29.7719110 
 00.49.08.76  +40.19.17.69       28.5401068       29.6722333 
 00.49.11.06  +40.18.43.92       28.8586438       29.9799009 
 00.49.07.58  +40.19.34.95       28.8030329       29.9568983 
 00.49.12.32  +40.18.25.41       28.4913285       29.5582384 
 00.49.06.79  +40.19.46.29       28.9466829       30.3505455 
 00.49.07.34  +40.19.38.29       29.8733045       30.2119619 
 00.49.10.46  +40.18.52.71       27.8176785       28.6345912 
 00.49.15.29  +40.17.41.91       29.0652351       30.0125811 
 00.49.14.76  +40.17.49.47       29.1527916       30.2305709 
 00.49.12.01  +40.18.29.66       28.3164568       29.1985862 
 00.49.13.41  +40.18.09.20       27.0162155       27.8222588 
 00.49.13.74  +40.18.04.36       28.9337720       29.8702486 
 00.49.08.82  +40.19.16.42       28.9952351       29.9425811 
 00.49.08.82  +40.19.16.25       28.6420525       29.9372206 
 00.49.11.75  +40.18.33.30       28.6491416       29.4769237 
 00.49.14.71  +40.17.50.04       29.8096393       30.3439466 
 00.49.06.78  +40.19.46.17       25.2762155       26.0822588 
 00.49.14.99  +40.17.45.76       29.6406046       30.4792562 
 00.49.15.98  +40.17.31.21       28.5196242       29.4995785 
 00.49.06.14  +40.19.55.43       29.2788851       30.4762283 
 00.49.06.39  +40.19.51.65       29.0969394       30.1312410 
 00.49.06.96  +40.19.43.38       28.0418112       29.2608932 
 00.49.10.20  +40.18.55.82       29.2366829       30.6405455 
 00.49.10.23  +40.18.55.46       25.3962155       26.2022588 
 00.49.14.01  +40.18.00.01       28.4740133       29.4865760 
 00.49.15.23  +40.17.42.11       27.7879198       28.6809187 
 00.49.07.67  +40.19.32.96       29.0471807       30.1575684 
 00.49.09.90  +40.19.00.24       27.8279198       28.7209187 
 00.49.09.22  +40.19.10.08       29.3245111       30.0435989 
 00.49.09.40  +40.19.07.53       28.3923090       29.3179161 
 00.49.12.27  +40.18.25.45       28.8891416       29.7169237 
 00.49.14.72  +40.17.49.49       29.1362003       30.3878907 
 00.49.14.87  +40.17.47.42       28.2918112       29.5108932 
 00.49.12.95  +40.18.15.53       29.2618263       30.0352613 
 00.49.10.94  +40.18.44.82       29.0649786       30.3818856 
 00.49.07.96  +40.19.28.52       26.2808459       27.1955836 
 00.49.08.97  +40.19.13.66       29.5037720       30.4402486 
 00.49.09.89  +40.19.00.13       29.4815699       30.6245658 
 00.49.14.36  +40.17.54.62       29.1066981       30.0649136 
 00.49.08.48  +40.19.20.69       28.1344960       29.2992308 
 00.49.12.07  +40.18.28.17       29.0223090       29.9479161 
 00.49.12.92  +40.18.15.71       29.5269394       30.5612410 
 00.49.16.48  +40.17.23.47       28.4986438       29.6199009 
 00.49.13.41  +40.18.08.41       29.3357328       29.9896040 
 00.49.16.05  +40.17.29.72       28.2749937       29.1462537 
 00.49.11.62  +40.18.34.67       29.3598503       30.8615379 
 00.49.14.03  +40.17.59.30       27.6491416       28.4769237 
 00.49.14.80  +40.17.48.09       28.9227916       30.0005709 
 00.49.16.03  +40.17.30.06       29.8159590       30.9915633 
 00.49.16.48  +40.17.23.33       28.3098655       29.3659059 
 00.49.09.82  +40.19.00.89       27.7196090       29.1452105 
 00.49.08.24  +40.19.24.02       28.8435307       29.7039212 
 00.49.09.90  +40.18.59.84       29.6193829       30.5232511 
 00.49.12.62  +40.18.19.83       29.3144960       30.4792308 
 00.49.13.06  +40.18.13.36       26.1420676       26.9915887 
 00.49.10.05  +40.18.57.46       29.0532894       29.8375938 
 00.49.10.11  +40.18.56.66       29.4666981       30.4249136 
 00.49.14.61  +40.17.50.65       29.3625351       30.8098754 
 00.49.06.78  +40.19.45.22       28.3940133       29.4065760 
 00.49.08.90  +40.19.14.21       28.3884025       29.4335735 
 00.49.09.35  +40.19.07.52       29.3803330       31.0341927 
 00.49.06.44  +40.19.50.15       27.7759590       28.9515633 
 00.49.06.66  +40.19.46.83       29.3793980       29.8376192 
 00.49.08.38  +40.19.21.75       28.7159590       29.8915633 
 00.49.07.96  +40.19.27.88       29.1181611       30.0872461 
 00.49.13.38  +40.18.08.42       28.9771807       30.0875684 
 00.49.15.01  +40.17.44.45       27.7137720       28.6502486 
 00.49.07.47  +40.19.34.86       29.2915699       30.4345658 
 00.49.12.59  +40.18.19.87       29.5676785       30.3845912 
 00.49.14.43  +40.17.52.95       28.4298655       29.4859059 
 00.49.07.65  +40.19.32.29       29.0749937       29.9462537 
 00.49.08.83  +40.19.14.86       28.8337720       29.7702486 
 00.49.12.09  +40.18.27.19       28.2564568       29.1385862 
 00.49.11.46  +40.18.36.36       28.3727916       29.4505709 
 00.49.12.20  +40.18.25.56       29.2991264       30.5725557 
 00.49.14.27  +40.17.55.15       28.4713285       29.5382384 
 00.49.15.96  +40.17.30.35       30.1011024       30.6462791 
 00.49.16.76  +40.17.18.66       26.3245111       27.0435989 
 00.49.08.48  +40.19.20.04       29.0249937       29.8962537 
 00.49.11.81  +40.18.31.11       29.3696242       30.3495785 
 00.49.12.78  +40.18.16.97       28.3159590       29.4915633 
 00.49.09.22  +40.19.08.99       28.7844960       29.9492308 
 00.49.08.90  +40.19.13.57       29.5006198       29.8936243 
 00.49.11.09  +40.18.41.52       27.7118112       28.9308932 
 00.49.12.57  +40.18.19.83       28.9013285       29.9682384 
 00.49.16.70  +40.17.19.21       29.4566981       30.4149136 
 00.49.07.14  +40.19.39.34       28.5240133       29.5365760 
 00.49.12.11  +40.18.26.44       28.8935307       29.7539212 
 00.49.15.36  +40.17.38.93       29.2464568       30.1285862 
 00.49.14.34  +40.17.53.71       29.0901068       30.2222333 
 00.49.07.26  +40.19.37.46       29.2742546       30.3629034 
 00.49.11.64  +40.18.33.25       27.9340133       28.9465760 
 00.49.11.80  +40.18.30.89       28.0337720       28.9702486 
 00.49.14.44  +40.17.52.08       29.3313285       30.3982384 
 00.49.14.96  +40.17.44.51       28.8201220       29.5066014 
 00.49.15.10  +40.17.42.44       29.8684328       30.0223096 
 00.49.08.06  +40.19.25.49       28.7220525       30.0172206 
 00.49.08.77  +40.19.15.12       27.3410872       28.3319110 
 00.49.09.45  +40.19.05.08       29.6225503       30.6242435 
 00.49.07.88  +40.19.27.95       29.7108611       30.1799517 
 00.49.08.88  +40.19.13.38       28.6296242       29.6095785 
 00.49.10.31  +40.18.52.31       29.3379198       30.2309187 
 00.49.14.09  +40.17.57.00       29.3640133       30.3765760 
 00.49.16.72  +40.17.18.31       28.9593829       29.8632511 
 00.49.05.87  +40.19.57.27       28.9027916       29.9805709 
 00.49.10.13  +40.18.54.96       29.0854764       30.1089085 
 00.49.15.93  +40.17.29.91       29.7345111       30.4535989 
 00.49.16.09  +40.17.27.46       29.6993677       31.0488831 
 00.49.16.12  +40.17.27.07       28.9298655       29.9859059 
 00.49.12.83  +40.18.15.24       29.5327916       30.6105709 
 00.49.14.65  +40.17.48.59       29.1096090       30.5352105 
 00.49.14.87  +40.17.45.37       28.7674220       29.9538958 
 00.49.06.26  +40.19.51.32       29.4425503       30.4442435 
 00.49.10.10  +40.18.55.16       29.1491264       30.4225557 
 00.49.12.67  +40.18.17.57       29.0627916       30.1405709 
 00.49.06.14  +40.19.53.03       28.6364416       29.9642181 
 00.49.08.01  +40.19.25.78       28.7837720       29.7202486 
 00.49.13.12  +40.18.10.88       29.3986438       30.5199009 
 00.49.13.51  +40.18.05.13       28.9079198       29.8009187 
 00.49.05.82  +40.19.57.63       29.0971807       30.2075684 
 00.49.06.33  +40.19.50.30       29.0627916       30.1405709 
 00.49.10.37  +40.18.51.12       25.9530481       26.6612664 
 00.49.14.28  +40.17.53.77       28.7896242       29.7695785 
 00.49.08.03  +40.19.25.23       29.0181611       29.9872461 
 00.49.10.32  +40.18.51.76       29.1371807       30.2475684 
 00.49.12.03  +40.18.26.62       28.3010872       29.2919110 
 00.49.16.05  +40.17.27.80       26.0059742       26.7359314 
 00.49.11.15  +40.18.39.46       28.8393677       30.1888831 
 00.49.12.78  +40.18.15.63       29.1088851       30.3062283 
 00.49.14.87  +40.17.44.99       29.0905894       30.3748881 
 00.49.15.19  +40.17.40.30       29.0576634       30.3202232 
 00.49.16.49  +40.17.21.27       28.8074220       29.9938958 
 00.49.09.28  +40.19.06.79       29.7445111       30.4635989 
 00.49.09.93  +40.18.57.38       28.4230329       29.5768983 
 00.49.10.29  +40.18.52.01       29.2425351       30.6898754 
 00.49.10.84  +40.18.43.96       27.0608308       28.4212156 
 00.49.14.56  +40.17.49.45       29.0627916       30.1405709 
 00.49.14.81  +40.17.45.82       28.4679047       29.8065506 
 00.49.06.89  +40.19.41.69       28.9888851       30.1862283 
 00.49.10.93  +40.18.42.62       28.4337720       29.3702486 
 00.49.08.37  +40.19.20.03       29.1120525       30.4072206 
 00.49.08.97  +40.19.11.17       28.4125503       29.4142435 
 00.49.10.46  +40.18.49.45       24.7896393       25.3239466 
 00.49.06.80  +40.19.43.00       28.4844960       29.6492308 
 00.49.08.28  +40.19.21.24       29.3376634       30.6002232 
 00.49.12.97  +40.18.12.55       28.8622938       30.2335480 
 00.49.11.82  +40.18.29.35       28.9542546       30.0429034 
 00.49.16.49  +40.17.20.88       25.3108459       26.2255836 
 00.49.13.95  +40.17.58.09       29.4149937       30.2862537 
 00.49.16.50  +40.17.20.78       25.8013437       26.4226065 
 00.49.10.89  +40.18.42.80       29.2847524       30.0799263 
 00.49.12.93  +40.18.12.98       26.9564568       27.8385862 
 00.49.12.88  +40.18.13.58       29.0930481       29.8012664 
