# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Fri Mar  8 04:16:14 CET 2019
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: CFHT/Megacam <i>u*g'r'i'z'</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label 	 mbolmag  u*mag   g'mag   r'mag   i'mag   z'mag
4.916e-05 9.929 0.8300416470 3.0844001770    0.829  0.388  3.8360  4.265    0 3.800 4.489 3.977 3.852 3.846 3.882
4.916e-05 9.929 0.8392342329 3.0880506039    0.838  0.457  3.8400  4.216    0 3.628 4.307 3.792 3.680 3.681 3.721
4.916e-05 9.929 0.8455160260 3.0904984474    0.844  0.507  3.8423  4.179    0 3.503 4.176 3.659 3.554 3.560 3.602
4.916e-05 9.929 0.8500000238 3.0922229290    0.849  0.545  3.8435  4.147    0 3.407 4.077 3.557 3.458 3.466 3.509
4.916e-05 9.929 0.8518767357 3.0929391384    0.851  0.561  3.8442  4.135    0 3.367 4.035 3.515 3.418 3.428 3.472
4.916e-05 9.929 0.8538590670 3.0936923027    0.853  0.579  3.8447  4.120    0 3.322 3.989 3.467 3.372 3.383 3.428
4.916e-05 9.929 0.8546447158 3.0939896107    0.853  0.587  3.8448  4.113    0 3.302 3.969 3.447 3.352 3.364 3.409
4.916e-05 9.929 0.8590866923 3.0956611633    0.858  0.634  3.8441  4.066    0 3.185 3.852 3.328 3.232 3.244 3.288
4.916e-05 9.929 0.8633612990 3.0972528458    0.862  0.686  3.8406  4.001    0 3.054 3.728 3.201 3.098 3.104 3.145
4.916e-05 9.929 0.8641217351 3.0975341797    0.863  0.697  3.8395  3.987    0 3.028 3.704 3.177 3.071 3.076 3.115
4.916e-05 9.929 0.8648369312 3.0977985859    0.863  0.707  3.8380  3.971    0 3.002 3.681 3.153 3.044 3.046 3.085
4.916e-05 9.929 0.8672351241 3.0986814499    0.866  0.745  3.8311  3.907    0 2.908 3.602 3.071 2.945 2.936 2.968
4.916e-05 9.929 0.8690585494 3.0993494987    0.867  0.778  3.8222  3.839    0 2.825 3.541 3.006 2.858 2.834 2.857
4.916e-05 9.929 0.8701525331 3.0997488499    0.868  0.801  3.8146  3.786    0 2.768 3.505 2.966 2.797 2.760 2.776
4.916e-05 9.929 0.8710694909 3.1000826359    0.869  0.822  3.8063  3.732    0 2.714 3.477 2.931 2.739 2.688 2.696
4.916e-05 9.929 0.8718289733 3.1003587246    0.870  0.842  3.7975  3.677    0 2.665 3.458 2.903 2.685 2.619 2.619
4.916e-05 9.929 0.8724568486 3.1005866528    0.871  0.860  3.7891  3.626    0 2.621 3.447 2.881 2.638 2.557 2.549
4.916e-05 9.929 0.8730156422 3.1007890701    0.871  0.876  3.7809  3.578    0 2.580 3.440 2.862 2.594 2.499 2.484
4.916e-05 9.929 0.8736976981 3.1010358334    0.872  0.896  3.7705  3.516    0 2.529 3.436 2.838 2.540 2.428 2.403
4.916e-05 9.929 0.8743601441 3.1012752056    0.872  0.917  3.7615  3.459    0 2.477 3.429 2.810 2.485 2.357 2.324
4.916e-05 9.929 0.8750516176 3.1015245914    0.873  0.948  3.7534  3.396    0 2.399 3.400 2.758 2.406 2.264 2.223
4.916e-05 9.929 0.8755993843 3.1017220020    0.873  0.984  3.7484  3.341    0 2.311 3.341 2.684 2.317 2.166 2.120
4.916e-05 9.929 0.8759745359 3.1018569469    0.874  1.013  3.7457  3.301    0 2.237 3.286 2.620 2.245 2.089 2.039
4.916e-05 9.929 0.8760601878 3.1018877029    0.874  1.020  3.7451  3.292    0 2.219 3.272 2.604 2.226 2.070 2.020
4.916e-05 9.929 0.8765311837 3.1020569801    0.874  1.062  3.7424  3.239    0 2.114 3.184 2.507 2.122 1.960 1.908
4.916e-05 9.929 0.8770517707 3.1022439003    0.875  1.112  3.7398  3.179    0 1.989 3.076 2.391 1.998 1.831 1.776
4.916e-05 9.929 0.8774912953 3.1024014950    0.875  1.157  3.7379  3.126    0 1.877 2.976 2.284 1.886 1.716 1.659
4.916e-05 9.929 0.8779146671 3.1025531292    0.875  1.203  3.7361  3.073    0 1.762 2.874 2.175 1.772 1.600 1.541
4.916e-05 9.929 0.8783090711 3.1026942730    0.876  1.249  3.7345  3.022    0 1.648 2.771 2.067 1.660 1.484 1.423
4.916e-05 9.929 0.8786806464 3.1028270721    0.876  1.294  3.7330  2.970    0 1.534 2.667 1.958 1.546 1.368 1.306
4.916e-05 9.929 0.8790526390 3.1029598713    0.876  1.343  3.7314  2.915    0 1.411 2.556 1.840 1.424 1.244 1.180
4.916e-05 9.929 0.8793742061 3.1030747890    0.876  1.389  3.7298  2.863    0 1.297 2.453 1.731 1.311 1.128 1.062
4.916e-05 9.929 0.8796905279 3.1031875610    0.877  1.437  3.7283  2.808    0 1.176 2.344 1.616 1.191 1.006 0.938
4.916e-05 9.929 0.8799777031 3.1032898426    0.877  1.485  3.7268  2.755    0 1.057 2.236 1.501 1.073 0.885 0.816
