# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Fri Mar  8 04:16:14 CET 2019
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: CFHT/Megacam <i>u*g'r'i'z'</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label 	 mbolmag  u*mag   g'mag   r'mag   i'mag   z'mag
4.916e-05 10.021 0.8207027912 3.0806059837    0.819  0.778  3.7785  3.639    0 2.824 3.695 3.115 2.838 2.739 2.721
4.916e-05 10.021 0.8214231133 3.0809016228    0.820  0.804  3.7693  3.577    0 2.760 3.673 3.074 2.771 2.656 2.629
4.916e-05 10.021 0.8220876455 3.0811741352    0.820  0.832  3.7611  3.516    0 2.691 3.646 3.028 2.699 2.570 2.536
4.916e-05 10.021 0.8227546215 3.0814471245    0.821  0.868  3.7536  3.451    0 2.601 3.600 2.959 2.608 2.466 2.424
4.916e-05 10.021 0.8232761621 3.0816602707    0.821  0.904  3.7488  3.395    0 2.510 3.538 2.883 2.516 2.366 2.319
4.916e-05 10.021 0.8237923384 3.0818707943    0.822  0.948  3.7449  3.337    0 2.401 3.455 2.787 2.408 2.250 2.200
4.916e-05 10.021 0.8238697052 3.0819025040    0.822  0.955  3.7444  3.328    0 2.383 3.440 2.770 2.390 2.231 2.181
4.916e-05 10.021 0.8242951632 3.0820758343    0.822  0.997  3.7421  3.277    0 2.278 3.351 2.673 2.286 2.123 2.070
4.916e-05 10.021 0.8247653246 3.0822672844    0.823  1.046  3.7397  3.218    0 2.155 3.243 2.557 2.163 1.996 1.941
4.916e-05 10.021 0.8251622319 3.0824286938    0.823  1.090  3.7379  3.167    0 2.044 3.145 2.453 2.053 1.884 1.826
4.916e-05 10.021 0.8255445361 3.0825841427    0.823  1.135  3.7363  3.116    0 1.932 3.043 2.345 1.942 1.769 1.710
4.916e-05 10.021 0.8259005547 3.0827286243    0.824  1.180  3.7347  3.065    0 1.820 2.942 2.239 1.831 1.656 1.595
4.916e-05 10.021 0.8262360096 3.0828645229    0.824  1.225  3.7333  3.014    0 1.708 2.840 2.131 1.720 1.542 1.480
4.916e-05 10.021 0.8265717626 3.0830006599    0.824  1.273  3.7318  2.960    0 1.587 2.729 2.015 1.599 1.420 1.356
4.916e-05 10.021 0.8268619180 3.0831182003    0.824  1.319  3.7303  2.909    0 1.474 2.626 1.906 1.487 1.305 1.239
4.916e-05 10.021 0.8271473050 3.0832335949    0.824  1.367  3.7288  2.855    0 1.353 2.517 1.791 1.368 1.183 1.116
4.916e-05 10.021 0.8274064660 3.0833384991    0.824  1.414  3.7274  2.802    0 1.235 2.410 1.678 1.250 1.063 0.995
4.916e-05 10.021 0.8276408911 3.0834331512    0.825  1.461  3.7258  2.749    0 1.119 2.305 1.567 1.135 0.945 0.875
4.916e-05 10.021 0.8278546333 3.0835194588    0.825  1.507  3.7243  2.697    0 1.003 2.201 1.457 1.021 0.828 0.757
4.916e-05 10.021 0.8280565739 3.0836009979    0.825  1.554  3.7228  2.643    0 0.884 2.093 1.343 0.903 0.708 0.634
4.916e-05 10.021 0.8282370567 3.0836739540    0.825  1.601  3.7213  2.590    0 0.768 1.988 1.232 0.788 0.590 0.515
4.916e-05 10.021 0.8283988237 3.0837390423    0.825  1.646  3.7197  2.539    0 0.654 1.886 1.124 0.676 0.475 0.399
4.916e-05 10.021 0.8285504580 3.0838003159    0.824  1.693  3.7181  2.486    0 0.538 1.784 1.014 0.561 0.358 0.280
4.916e-05 10.021 0.8286851645 3.0838544369    0.824  1.738  3.7166  2.435    0 0.426 1.687 0.908 0.450 0.244 0.164
4.916e-05 10.021 0.8288109303 3.0839052200    0.824  1.783  3.7149  2.382    0 0.312 1.589 0.801 0.337 0.128 0.046
4.916e-05 10.021 0.8289278746 3.0839521885    0.824  1.830  3.7133  2.329    0 0.196 1.489 0.692 0.222 0.010 -0.073
4.916e-05 10.021 0.8290351033 3.0839953423    0.824  1.876  3.7117  2.277    0 0.081 1.389 0.584 0.108 -0.107 -0.192
4.916e-05 10.021 0.8291326165 3.0840346813    0.824  1.921  3.7099  2.224    0 -0.033 1.293 0.477 -0.004 -0.222 -0.309
4.916e-05 10.021 0.8292238712 3.0840713978    0.823  1.967  3.7082  2.171    0 -0.148 1.196 0.370 -0.117 -0.339 -0.428
4.916e-05 10.021 0.8293070793 3.0841050148    0.823  2.013  3.7066  2.118    0 -0.263 1.099 0.263 -0.230 -0.455 -0.546
4.916e-05 10.021 0.8293808699 3.0841345787    0.823  2.057  3.7048  2.067    0 -0.373 1.007 0.161 -0.339 -0.567 -0.660
4.916e-05 10.021 0.8294489384 3.0841619968    0.822  2.102  3.7031  2.015    0 -0.485 0.914 0.058 -0.448 -0.680 -0.774
4.916e-05 10.021 0.8295127153 3.0841877460    0.822  2.147  3.7014  1.963    0 -0.598 0.820 -0.048 -0.560 -0.795 -0.892
4.916e-05 10.021 0.8295699954 3.0842106342    0.821  2.191  3.6995  1.911    0 -0.708 0.733 -0.149 -0.669 -0.907 -1.006
4.916e-05 10.021 0.8296274543 3.0842337608    0.821  2.238  3.6977  1.857    0 -0.825 0.640 -0.255 -0.783 -1.025 -1.126
4.916e-05 10.021 0.8296877742 3.0842580795    0.820  2.282  3.6960  1.806    0 -0.934 0.553 -0.356 -0.891 -1.137 -1.239
4.916e-05 10.021 0.8297193050 3.0842707157    0.819  2.294  3.6955  1.792    0 -0.965 0.528 -0.384 -0.921 -1.168 -1.271
4.916e-05 10.021 0.8297500014 3.0842831135    0.819  2.285  3.6961  1.803    0 -0.942 0.543 -0.364 -0.899 -1.144 -1.247
4.916e-05 10.021 0.8297565579 3.0842857361    0.819  2.292  3.6958  1.795    0 -0.959 0.530 -0.380 -0.915 -1.162 -1.264
4.916e-05 10.021 0.8297930360 3.0843002796    0.818  2.331  3.6941  1.748    0 -1.059 0.453 -0.470 -1.012 -1.262 -1.367
4.916e-05 10.021 0.8298299313 3.0843150616    0.818  2.374  3.6925  1.699    0 -1.164 0.369 -0.566 -1.116 -1.370 -1.476
4.916e-05 10.021 0.8298612237 3.0843276978    0.817  2.412  3.6908  1.654    0 -1.260 0.296 -0.652 -1.209 -1.466 -1.575
4.916e-05 10.021 0.8298919797 3.0843400955    0.816  2.452  3.6890  1.606    0 -1.360 0.221 -0.742 -1.307 -1.568 -1.678
4.916e-05 10.021 0.8299207091 3.0843515396    0.816  2.492  3.6874  1.559    0 -1.460 0.146 -0.831 -1.404 -1.668 -1.781
4.916e-05 10.021 0.8299458623 3.0843617916    0.815  2.529  3.6857  1.514    0 -1.553 0.078 -0.913 -1.494 -1.763 -1.877
4.916e-05 10.021 0.8299707770 3.0843718052    0.814  2.569  3.6839  1.467    0 -1.652 0.025 -0.998 -1.592 -1.865 -1.981
4.916e-05 10.021 0.8299928904 3.0843806267    0.813  2.606  3.6823  1.423    0 -1.746 -0.023 -1.077 -1.684 -1.961 -2.080
4.916e-05 10.021 0.8300135136 3.0843889713    0.812  2.643  3.6806  1.379    0 -1.838 -0.064 -1.153 -1.775 -2.057 -2.177
4.916e-05 10.021 0.8300331235 3.0843968391    0.811  2.681  3.6788  1.333    0 -1.932 -0.101 -1.228 -1.866 -2.154 -2.277
4.916e-05 10.021 0.8300542831 3.0844051838    0.809  2.724  3.6770  1.282    0 -2.040 -0.143 -1.315 -1.972 -2.265 -2.391
4.916e-05 10.021 0.8300712705 3.0844120979    0.808  2.761  3.6750  1.236    0 -2.133 -0.164 -1.385 -2.062 -2.361 -2.490
4.916e-05 10.021 0.8300888538 3.0844192505    0.806  2.803  3.6731  1.186    0 -2.236 -0.189 -1.462 -2.161 -2.468 -2.599
4.916e-05 10.021 0.8301032782 3.0844249725    0.805  2.839  3.6714  1.143    0 -2.327 -0.204 -1.528 -2.248 -2.562 -2.695
4.916e-05 10.021 0.8301180601 3.0844309330    0.803  2.878  3.6694  1.094    0 -2.425 -0.209 -1.596 -2.342 -2.663 -2.800
4.916e-05 10.021 0.8301302791 3.0844357014    0.802  2.913  3.6677  1.052    0 -2.512 -0.215 -1.655 -2.424 -2.752 -2.891
4.916e-05 10.021 0.8301431537 3.0844409466    0.799  2.951  3.6658  1.005    0 -2.608 -0.208 -1.717 -2.514 -2.852 -2.994
4.916e-05 10.021 0.8301561475 3.0844461918    0.797  2.993  3.6636  0.953    0 -2.712 -0.185 -1.776 -2.610 -2.959 -3.106
4.916e-05 10.021 0.8301667571 3.0844504833    0.795  3.029  3.6618  0.908    0 -2.803 -0.158 -1.824 -2.693 -3.052 -3.203
4.916e-05 10.021 0.8301758170 3.0844540596    0.793  3.061  3.6600  0.868    0 -2.883 -0.121 -1.862 -2.765 -3.136 -3.290
4.916e-05 10.021 0.8301851749 3.0844578743    0.790  3.096  3.6582  0.824    0 -2.971 -0.079 -1.901 -2.842 -3.225 -3.384
4.916e-05 10.021 0.8301947713 3.0844616890    0.787  3.135  3.6561  0.776    0 -3.067 -0.073 -1.953 -2.925 -3.320 -3.483
4.916e-05 10.021 0.8302028179 3.0844650269    0.784  3.168  3.6542  0.733    0 -3.151 -0.072 -2.000 -2.998 -3.403 -3.570
4.916e-05 10.021 0.8302109241 3.0844681263    0.781  3.203  3.6524  0.689    0 -3.238 -0.071 -2.049 -3.075 -3.489 -3.660
4.916e-05 10.021 0.8302184343 3.0844712257    0.777  3.235  3.6507  0.648    0 -3.317 -0.069 -2.093 -3.143 -3.568 -3.743
4.916e-05 10.021 0.8302205801 3.0844719410    0.776  1.695  3.9067  3.212    4 0.533 0.996 0.470 0.613 0.768 0.843
4.916e-05 10.021 0.8302214146 3.0844724178    0.776  1.702  3.9001  3.178    4 0.515 0.986 0.452 0.579 0.724 0.796
4.916e-05 10.021 0.8302293420 3.0844755173    0.776  1.710  3.8943  3.148    4 0.496 0.977 0.438 0.548 0.684 0.752
4.916e-05 10.021 0.8302833438 3.0844972134    0.776  1.719  3.8887  3.116    4 0.472 0.964 0.419 0.513 0.639 0.705
4.916e-05 10.021 0.8303398490 3.0845198631    0.776  1.719  3.8894  3.118    4 0.472 0.962 0.417 0.514 0.641 0.707
4.916e-05 10.021 0.8303967118 3.0845427513    0.776  1.719  3.8900  3.121    4 0.471 0.960 0.415 0.514 0.643 0.709
4.916e-05 10.021 0.8304535151 3.0845656395    0.776  1.720  3.8906  3.123    4 0.471 0.958 0.415 0.515 0.645 0.711
4.916e-05 10.021 0.8305107951 3.0845885277    0.776  1.720  3.8909  3.124    4 0.471 0.957 0.414 0.515 0.646 0.712
4.916e-05 10.021 0.8305683732 3.0846116543    0.776  1.720  3.8912  3.125    4 0.470 0.956 0.413 0.515 0.646 0.713
4.916e-05 10.021 0.8306212425 3.0846328735    0.776  1.720  3.8911  3.124    4 0.470 0.956 0.413 0.515 0.645 0.712
4.916e-05 10.021 0.8306742907 3.0846540928    0.776  1.721  3.8908  3.123    4 0.469 0.955 0.412 0.513 0.643 0.710
4.916e-05 10.021 0.8307279944 3.0846755505    0.776  1.721  3.8903  3.120    4 0.467 0.955 0.411 0.511 0.640 0.706
4.916e-05 10.021 0.8307827115 3.0846974850    0.776  1.722  3.8893  3.115    4 0.465 0.955 0.410 0.507 0.634 0.700
4.916e-05 10.021 0.8308363557 3.0847189426    0.776  1.723  3.8879  3.109    4 0.463 0.956 0.410 0.502 0.627 0.692
4.916e-05 10.021 0.8308906555 3.0847408772    0.776  1.724  3.8860  3.100    4 0.459 0.957 0.409 0.496 0.617 0.681
4.916e-05 10.021 0.8309434056 3.0847618580    0.776  1.726  3.8838  3.090    4 0.455 0.958 0.409 0.489 0.606 0.669
4.916e-05 10.021 0.8309493065 3.0847642422    0.776  1.726  3.8836  3.088    4 0.455 0.958 0.409 0.488 0.604 0.667
4.916e-05 10.021 0.8309686184 3.0847721100    0.776  1.727  3.8825  3.083    4 0.453 0.959 0.409 0.484 0.599 0.661
4.916e-05 10.021 0.8310262561 3.0847952366    0.776  1.729  3.8792  3.068    4 0.448 0.962 0.409 0.473 0.582 0.642
4.916e-05 10.021 0.8310858607 3.0848190784    0.776  1.732  3.8750  3.049    4 0.441 0.966 0.410 0.461 0.562 0.620
4.916e-05 10.021 0.8311424255 3.0848417282    0.776  1.735  3.8705  3.027    4 0.434 0.970 0.411 0.448 0.540 0.596
4.916e-05 10.021 0.8311985731 3.0848641396    0.776  1.738  3.8653  3.003    4 0.425 0.976 0.414 0.435 0.516 0.569
4.916e-05 10.021 0.8312530518 3.0848860741    0.776  1.741  3.8596  2.977    4 0.416 0.982 0.417 0.420 0.491 0.540
4.916e-05 10.021 0.8313108087 3.0849092007    0.776  1.746  3.8530  2.947    4 0.406 0.990 0.422 0.406 0.463 0.507
4.916e-05 10.021 0.8313360810 3.0849192142    0.776  1.748  3.8500  2.933    4 0.401 0.993 0.425 0.399 0.451 0.493
4.916e-05 10.021 0.8313638568 3.0849304199    0.776  1.750  3.8464  2.916    4 0.396 0.998 0.429 0.392 0.436 0.475
4.916e-05 10.021 0.8314168453 3.0849516392    0.776  1.754  3.8395  2.884    4 0.385 1.007 0.435 0.378 0.408 0.442
4.916e-05 10.021 0.8314703703 3.0849728584    0.776  1.759  3.8322  2.850    4 0.373 1.018 0.443 0.363 0.379 0.408
4.916e-05 10.021 0.8315229416 3.0849940777    0.776  1.764  3.8242  2.813    4 0.360 1.031 0.452 0.348 0.348 0.371
4.916e-05 10.021 0.8315734267 3.0850141048    0.776  1.769  3.8160  2.775    4 0.347 1.046 0.462 0.333 0.318 0.334
4.916e-05 10.021 0.8316233754 3.0850341320    0.776  1.775  3.8078  2.736    4 0.333 1.063 0.474 0.318 0.287 0.296
4.916e-05 10.021 0.8316734433 3.0850541592    0.776  1.781  3.8000  2.699    4 0.318 1.081 0.486 0.304 0.257 0.260
4.916e-05 10.021 0.8317244649 3.0850746632    0.776  1.787  3.7927  2.664    4 0.304 1.098 0.496 0.290 0.229 0.225
4.916e-05 10.021 0.8317752481 3.0850949287    0.776  1.793  3.7863  2.633    4 0.289 1.111 0.502 0.276 0.203 0.194
4.916e-05 10.021 0.8318255544 3.0851149559    0.776  1.799  3.7809  2.605    4 0.273 1.121 0.506 0.262 0.178 0.164
4.916e-05 10.021 0.8318667412 3.0851314068    0.776  1.805  3.7763  2.580    4 0.257 1.127 0.505 0.247 0.155 0.136
4.916e-05 10.021 0.8319062591 3.0851473808    0.776  1.813  3.7718  2.554    4 0.238 1.131 0.501 0.229 0.129 0.106
4.916e-05 10.021 0.8319587111 3.0851683617    0.776  1.828  3.7653  2.513    4 0.201 1.128 0.487 0.195 0.082 0.053
4.916e-05 10.021 0.8320091367 3.0851883888    0.776  1.854  3.7568  2.453    4 0.136 1.111 0.453 0.133 0.005 -0.033
4.916e-05 10.021 0.8320367336 3.0851993561    0.776  1.882  3.7491  2.394    4 0.065 1.086 0.411 0.066 -0.077 -0.122
4.916e-05 10.021 0.8320509195 3.0852050781    0.776  1.912  3.7421  2.336    4 -0.009 1.056 0.363 -0.004 -0.160 -0.213
4.916e-05 10.021 0.8320574164 3.0852077007    0.776  1.942  3.7358  2.281    4 -0.086 1.023 0.310 -0.078 -0.245 -0.304
4.916e-05 10.021 0.8320603967 3.0852088928    0.776  1.973  3.7307  2.230    4 -0.162 0.985 0.253 -0.151 -0.328 -0.393
4.916e-05 10.021 0.8320618868 3.0852096081    0.776  2.000  3.7270  2.188    4 -0.230 0.947 0.201 -0.217 -0.401 -0.469
4.916e-05 10.021 0.8320620060 3.0852096081    0.776  2.004  3.7265  2.182    4 -0.239 0.942 0.193 -0.226 -0.410 -0.479
4.916e-05 10.021 0.8320630789 3.0852100849    0.776  2.041  3.7228  2.130    4 -0.333 0.878 0.114 -0.317 -0.509 -0.582
4.916e-05 10.021 0.8320640922 3.0852103233    0.776  2.082  3.7193  2.076    4 -0.434 0.807 0.028 -0.415 -0.614 -0.690
4.916e-05 10.021 0.8320650458 3.0852108002    0.776  2.121  3.7164  2.025    4 -0.531 0.738 -0.056 -0.510 -0.714 -0.794
4.916e-05 10.021 0.8320659995 3.0852112770    0.776  2.159  3.7137  1.975    4 -0.627 0.668 -0.140 -0.604 -0.813 -0.896
4.916e-05 10.021 0.8320674300 3.0852117538    0.776  2.196  3.7113  1.929    4 -0.721 0.599 -0.223 -0.696 -0.910 -0.995
4.916e-05 10.021 0.8320701718 3.0852129459    0.776  2.176  3.7129  1.955    4 -0.671 0.633 -0.180 -0.647 -0.858 -0.941
4.916e-05 10.021 0.8320764303 3.0852153301    0.776  2.147  3.7148  1.992    4 -0.597 0.688 -0.114 -0.574 -0.781 -0.863
4.916e-05 10.021 0.8321020007 3.0852255821    0.775  2.173  3.7125  1.956    4 -0.663 0.644 -0.170 -0.639 -0.850 -0.934
4.916e-05 10.021 0.8321219087 3.0852334499    0.775  2.219  3.7094  1.898    4 -0.778 0.561 -0.271 -0.752 -0.970 -1.057
4.916e-05 10.021 0.8321416974 3.0852413177    0.775  2.262  3.7066  1.843    4 -0.886 0.484 -0.365 -0.857 -1.080 -1.170
4.916e-05 10.021 0.8321605325 3.0852489471    0.775  2.305  3.7041  1.791    4 -0.992 0.407 -0.459 -0.961 -1.189 -1.282
4.916e-05 10.021 0.8321774006 3.0852556229    0.774  2.346  3.7017  1.740    4 -1.096 0.331 -0.550 -1.061 -1.295 -1.391
4.916e-05 10.021 0.8321924806 3.0852618217    0.774  2.388  3.6994  1.689    4 -1.199 0.255 -0.642 -1.162 -1.401 -1.499
4.916e-05 10.021 0.8322057128 3.0852670670    0.774  2.429  3.6971  1.639    4 -1.302 0.181 -0.732 -1.262 -1.505 -1.606
4.916e-05 10.021 0.8322173953 3.0852715969    0.774  2.469  3.6949  1.589    4 -1.404 0.108 -0.821 -1.361 -1.608 -1.712
4.916e-05 10.021 0.8322278857 3.0852758884    0.773  2.510  3.6927  1.539    4 -1.505 0.035 -0.910 -1.459 -1.711 -1.817
4.916e-05 10.021 0.8322373629 3.0852797031    0.773  2.551  3.6906  1.490    4 -1.606 -0.038 -0.998 -1.557 -1.814 -1.923
4.916e-05 10.021 0.8322461247 3.0852830410    0.773  2.591  3.6885  1.441    4 -1.707 -0.106 -1.085 -1.654 -1.916 -2.028
4.916e-05 10.021 0.8322542310 3.0852863789    0.772  2.631  3.6863  1.392    4 -1.808 -0.173 -1.171 -1.751 -2.019 -2.133
4.916e-05 10.021 0.8322617412 3.0852894783    0.772  2.671  3.6841  1.343    4 -1.908 -0.221 -1.254 -1.849 -2.122 -2.239
4.916e-05 10.021 0.8322690129 3.0852923393    0.771  2.711  3.6820  1.294    4 -2.009 -0.259 -1.334 -1.948 -2.226 -2.346
4.916e-05 10.021 0.8322759867 3.0852949619    0.771  2.751  3.6798  1.245    4 -2.109 -0.291 -1.412 -2.045 -2.331 -2.453
4.916e-05 10.021 0.8322826028 3.0852975845    0.770  2.792  3.6776  1.195    4 -2.210 -0.315 -1.488 -2.143 -2.435 -2.560
4.916e-05 10.021 0.8322886229 3.0853002071    0.770  2.833  3.6754  1.145    4 -2.312 -0.332 -1.562 -2.241 -2.541 -2.669
4.916e-05 10.021 0.8322936893 3.0853021145    0.769  2.873  3.6732  1.096    4 -2.412 -0.340 -1.633 -2.338 -2.646 -2.777
4.916e-05 10.021 0.8322981596 3.0853040218    0.768  2.913  3.6709  1.046    4 -2.513 -0.342 -1.701 -2.434 -2.751 -2.886
4.916e-05 10.021 0.8323019147 3.0853054523    0.768  2.953  3.6687  0.997    4 -2.612 -0.333 -1.763 -2.527 -2.853 -2.992
4.916e-05 10.021 0.8323056102 3.0853068829    0.767  2.993  3.6663  0.948    4 -2.711 -0.306 -1.819 -2.618 -2.956 -3.099
4.916e-05 10.021 0.8323094249 3.0853083134    0.766  3.034  3.6639  0.896    4 -2.815 -0.267 -1.871 -2.713 -3.064 -3.211
4.916e-05 10.021 0.8323125839 3.0853097439    0.765  3.073  3.6616  0.847    4 -2.913 -0.220 -1.917 -2.801 -3.165 -3.317
4.916e-05 10.021 0.8323132992 3.0853099823    0.765  3.113  3.6591  0.798    4 -3.012 -0.151 -1.954 -2.887 -3.267 -3.424
4.916e-05 10.021 0.8323136568 3.0853102207    0.765  3.144  3.6572  0.759    4 -3.089 -0.115 -1.986 -2.953 -3.345 -3.506
4.916e-05 10.021 0.8323141932 3.0853102207    0.765  3.172  3.6552  0.722    4 -3.159 -0.099 -2.019 -3.011 -3.413 -3.579
4.916e-05 10.021 0.8323142529 3.0853104591    0.765  3.141  3.6574  0.762    4 -3.083 -0.119 -1.985 -2.948 -3.338 -3.499
4.916e-05 10.021 0.8323143125 3.0853104591    0.765  3.002  3.6659  0.935    4 -2.736 -0.303 -1.834 -2.641 -2.982 -3.125
4.916e-05 10.021 0.8323143721 3.0853104591    0.765  3.135  3.6578  0.770    4 -3.067 -0.119 -1.976 -2.935 -3.323 -3.483
4.916e-05 10.021 0.8323144317 3.0853104591    0.765  3.055  3.6628  0.870    4 -2.867 -0.249 -1.898 -2.759 -3.117 -3.266
4.916e-05 10.021 0.8323144913 3.0853104591    0.765  3.051  3.6630  0.875    4 -2.858 -0.253 -1.894 -2.752 -3.108 -3.257
4.916e-05 10.021 0.8323147893 3.0853104591    0.765  3.060  3.6625  0.863    4 -2.881 -0.241 -1.904 -2.772 -3.132 -3.282
4.916e-05 10.021 0.8323149681 3.0853106976    0.765  3.084  3.6611  0.834    4 -2.939 -0.208 -1.929 -2.824 -3.192 -3.345
4.916e-05 10.021 0.8323152065 3.0853106976    0.764  3.101  3.6600  0.812    4 -2.982 -0.180 -1.946 -2.862 -3.237 -3.392
4.916e-05 10.021 0.8323153853 3.0853106976    0.764  3.091  3.6606  0.825    4 -2.957 -0.195 -1.936 -2.840 -3.211 -3.365
4.916e-05 10.021 0.8323155642 3.0853109360    0.764  3.121  3.6587  0.787    4 -3.032 -0.141 -1.963 -2.905 -3.288 -3.446
4.916e-05 10.021 0.8323158026 3.0853109360    0.764  3.164  3.6560  0.733    4 -3.140 -0.111 -2.013 -2.996 -3.394 -3.558
4.916e-05 10.021 0.8323161006 3.0853111744    0.764  3.218  3.6525  0.665    4 -3.274 -0.094 -2.081 -3.111 -3.527 -3.698
4.916e-05 10.021 0.8323166370 3.0853114128    0.764  3.273  3.6489  0.596    4 -3.411 -0.073 -2.147 -3.226 -3.661 -3.840
4.916e-05 10.021 0.8323177099 3.0853116512    0.763  3.273  3.6490  0.596    4 -3.412 -0.075 -2.149 -3.227 -3.662 -3.840
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label 	 mbolmag  u*mag   g'mag   r'mag   i'mag   z'mag
4.916e-05 10.061 0.1000000015 1.5704020262    0.100 -2.671  3.6077  5.492    0 11.448 14.413 12.698 11.669 11.199 10.986
4.916e-05 10.061 0.1199999973 1.7478251457    0.120 -2.334  3.6364  5.349    0 10.606 13.041 11.605 10.750 10.351 10.174
4.916e-05 10.061 0.1400000006 1.8958495855    0.140 -2.148  3.6472  5.272    0 10.139 12.401 11.057 10.255 9.881 9.718
4.916e-05 10.061 0.1599999964 2.0211524963    0.160 -2.006  3.6539  5.215    0 9.784 11.944 10.654 9.883 9.524 9.370
4.916e-05 10.061 0.2000000030 2.2217822075    0.200 -1.798  3.6625  5.139    0 9.266 11.297 10.077 9.344 9.004 8.860
4.916e-05 10.061 0.2500000000 2.4080901146    0.250 -1.615  3.6699  5.082    0 8.807 10.731 9.570 8.869 8.546 8.411
4.916e-05 10.061 0.3000000417 2.5475041866    0.300 -1.475  3.6757  5.045    0 8.458 10.301 9.184 8.509 8.198 8.070
4.916e-05 10.061 0.3499999940 2.6555202007    0.350 -1.360  3.6807  5.017    0 8.170 9.945 8.866 8.211 7.912 7.789
4.916e-05 10.061 0.3653286695 2.6838304996    0.365 -1.328  3.6822  5.010    0 8.091 9.847 8.778 8.129 7.833 7.712
4.916e-05 10.061 0.4000000060 2.7413372993    0.400 -1.261  3.6853  4.994    0 7.923 9.639 8.592 7.956 7.667 7.550
4.916e-05 10.061 0.4095141590 2.7557108402    0.409 -1.238  3.6865  4.986    0 7.865 9.564 8.527 7.896 7.609 7.494
4.916e-05 10.061 0.4383819997 2.7960186005    0.438 -1.167  3.6902  4.959    0 7.687 9.338 8.328 7.712 7.433 7.322
4.916e-05 10.061 0.4499999881 2.8109800816    0.450 -1.137  3.6916  4.947    0 7.613 9.247 8.246 7.637 7.361 7.252
4.916e-05 10.061 0.4641706049 2.8283541203    0.464 -1.096  3.6947  4.931    0 7.509 9.105 8.126 7.529 7.260 7.154
4.916e-05 10.061 0.4984809756 2.8668777943    0.499 -0.997  3.7019  4.892    0 7.262 8.771 7.841 7.273 7.020 6.922
4.916e-05 10.061 0.5000000000 2.8684780598    0.500 -0.993  3.7022  4.891    0 7.251 8.756 7.828 7.262 7.009 6.912
4.916e-05 10.061 0.5166395307 2.8854494095    0.517 -0.931  3.7073  4.863    0 7.097 8.544 7.649 7.103 6.861 6.769
4.916e-05 10.061 0.5446555018 2.9118740559    0.544 -0.826  3.7158  4.815    0 6.836 8.190 7.348 6.835 6.610 6.528
4.916e-05 10.061 0.5500000119 2.9166350365    0.550 -0.806  3.7174  4.806    0 6.785 8.122 7.290 6.783 6.562 6.481
4.916e-05 10.061 0.5624269843 2.9273843765    0.562 -0.757  3.7224  4.787    0 6.663 7.951 7.147 6.658 6.447 6.372
4.916e-05 10.061 0.5828179717 2.9441125393    0.583 -0.677  3.7305  4.754    0 6.463 7.675 6.913 6.454 6.258 6.192
4.916e-05 10.061 0.6000000238 2.9573988914    0.600 -0.609  3.7374  4.726    0 6.292 7.446 6.718 6.282 6.100 6.041
4.916e-05 10.061 0.6008647680 2.9580492973    0.601 -0.605  3.7378  4.725    0 6.283 7.433 6.707 6.273 6.091 6.033
4.916e-05 10.061 0.6150665879 2.9684896469    0.615 -0.544  3.7448  4.702    0 6.131 7.225 6.532 6.122 5.953 5.901
4.916e-05 10.061 0.6284418106 2.9779272079    0.628 -0.486  3.7514  4.680    0 5.986 7.030 6.366 5.979 5.824 5.779
4.916e-05 10.061 0.6395145059 2.9854624271    0.639 -0.438  3.7570  4.662    0 5.865 6.869 6.229 5.861 5.716 5.677
4.916e-05 10.061 0.6499999762 2.9923686981    0.650 -0.391  3.7623  4.643    0 5.748 6.718 6.098 5.749 5.613 5.579
4.916e-05 10.061 0.6562608480 2.9963903427    0.656 -0.363  3.7654  4.632    0 5.678 6.628 6.020 5.680 5.550 5.519
4.916e-05 10.061 0.6695452929 3.0046820641    0.669 -0.302  3.7719  4.605    0 5.524 6.439 5.852 5.533 5.414 5.388
4.916e-05 10.061 0.6818888187 3.0121057034    0.682 -0.243  3.7778  4.578    0 5.378 6.263 5.693 5.392 5.283 5.263
4.916e-05 10.061 0.6932229400 3.0186963081    0.693 -0.188  3.7831  4.551    0 5.239 6.099 5.543 5.259 5.159 5.144
4.916e-05 10.061 0.6999999881 3.0225379467    0.700 -0.153  3.7862  4.533    0 5.153 5.998 5.450 5.176 5.082 5.070
4.916e-05 10.061 0.7038165927 3.0246701241    0.704 -0.134  3.7880  4.523    0 5.104 5.941 5.397 5.129 5.038 5.027
4.916e-05 10.061 0.7133749723 3.0299124718    0.713 -0.082  3.7925  4.495    0 4.976 5.794 5.259 5.006 4.922 4.916
4.916e-05 10.061 0.7220863700 3.0345730782    0.722 -0.033  3.7965  4.468    0 4.853 5.656 5.127 4.887 4.810 4.808
